,t,Vdby
0,12.05,136.97978412502334
1,12.050625,136.77824054811998
2,12.05125,136.6896857066961
3,12.051875,136.49162752466967
4,12.0525,136.19119429270535
5,12.053125,135.99232408962996
6,12.05375,135.78738307182962
7,12.054375,135.57459847992223
8,12.055,135.35646996015035
9,12.055625,135.09002458773833
10,12.05625,134.8135685045491
11,12.056875,134.53617365049928
12,12.0575,134.18709551668792
13,12.058125,133.89561272024122
14,12.05875,133.60489674085215
15,12.059375,133.11812836360428
16,12.06,132.68752988176738
17,12.060625,132.24295676652974
18,12.06125,131.73399603248097
19,12.061875,131.45278594085627
20,12.0625,130.98987426430025
21,12.063125,130.32277153434148
22,12.06375,129.73144301036714
23,12.064375,129.10907937557258
24,12.065,128.49763273262135
25,12.065625,127.98655064317357
26,12.06625,127.22700048704533
27,12.066875,126.38212118619552
28,12.0675,125.47853560201051
29,12.068125,124.65992220784308
30,12.06875,123.77856967521707
31,12.069375,122.78498435143214
32,12.07,121.50363709237384
33,12.070625,120.36568616853062
34,12.07125,119.29461842107258
35,12.071875,118.28686314238881
36,12.0725,116.62459387734128
37,12.073125,114.53454418053144
38,12.07375,111.93194191252921
39,12.074375,110.10299956639813
40,12.075,106.40292572222108
41,12.075625,98.98780013289824
42,12.07625,79.08485018878649
43,12.076875,99.912703891951
44,12.0775,103.91799304818468
45,12.078125,105.00840004617787
46,12.07875,107.8187021420676
47,12.079375,109.7991695884967
48,12.08,111.38747819230092
49,12.080625,112.84929040484244
50,12.08125,112.7497945902502
51,12.081875,112.84929040484244
52,12.0825,114.03135970111855
53,12.083125,113.83930205534722
54,12.08375,114.06582756237322
55,12.084375,114.63177530373478
56,12.085,114.30334715696915
57,12.085625,114.03135970111855
58,12.08625,113.90963352980394
59,12.086875,114.08301033679598
60,12.0875,113.8569383855446
61,12.088125,113.14111705714208
62,12.08875,111.7317460934351
63,12.089375,109.18784975518462
64,12.09,104.50618563451727
65,12.090625,90.62957834084511
66,12.09125,99.46255707199397
67,12.091875,108.26599528162504
68,12.0925,113.3303596110976
69,12.093125,117.20676013141988
70,12.09375,119.55447210577695
71,12.094375,120.97660173056701
72,12.095,121.93124876748271
73,12.095625,123.4169640728662
74,12.09625,124.61408627225138
75,12.096875,125.6931256557703
76,12.0975,126.78107471418278
77,12.098125,127.99001322629222
78,12.09875,129.2419676227031
79,12.099375,130.50348855670543
80,12.1,131.18616021814026
81,12.100625,132.00638659503323
82,12.10125,132.86115367502904
83,12.101875,133.61577223013364
84,12.1025,134.36172589566183
85,12.103125,135.05479387870656
86,12.10375,135.67950006825342
87,12.104375,136.35923609063988
88,12.105,136.9032015530389
89,12.105625,137.343455023573
90,12.10625,137.8463452144496
91,12.106875,138.2730987017324
92,12.1075,138.65657533801692
93,12.108125,139.01897428798802
94,12.10875,139.3218955889234
95,12.109375,139.5700013862292
96,12.11,139.76493446750757
97,12.110625,139.92935780523436
98,12.11125,140.09416393088674
99,12.111875,140.24915156401548
100,12.1125,140.36235441182
101,12.113125,140.50611730529542
102,12.11375,140.65881875561706
103,12.114375,140.81283783089074
104,12.115,140.90724205306697
105,12.115625,141.00604807924805
106,12.11625,141.11368129838826
107,12.116875,141.22904958174385
108,12.1175,141.31234111453745
109,12.118125,141.3904020167045
110,12.11875,141.49779096081338
111,12.119375,141.634145401947
112,12.12,141.76413976269072
113,12.120625,141.8782348209876
114,12.12125,142.02187533473318
115,12.121875,142.17332965107946
116,12.1225,142.324182516068
117,12.123125,142.4495602936302
118,12.12375,142.593797843986
119,12.124375,142.7432829025871
120,12.125,142.889616018055
121,12.125625,143.03352461694095
122,12.12625,143.17026525232865
123,12.126875,143.29954154221772
124,12.1275,143.42516549351552
125,12.128125,143.52992823060734
126,12.12875,143.62028416704413
127,12.129375,143.69553156501698
128,12.13,143.78418979164613
129,12.130625,143.8401918530734
130,12.13125,143.8491187702395
131,12.131875,143.82286979909796
132,12.1325,143.8015890788303
133,12.133125,143.77575825274937
134,12.13375,143.7068760316438
