,numero,intensitemax
0,coupe_0,-34.95389449931073
1,coupe_1,-34.566651730034415
2,coupe_2,-33.56359086844236
3,coupe_3,-37.21972141307435
4,coupe_4,-31.209015570142732
5,coupe_5,-30.428736344932126
6,coupe_6,-32.799615054947296
7,coupe_7,-32.392975754063485
8,coupe_8,-30.108950823407802
9,coupe_9,-29.28760998513864
10,coupe_10,-37.55380490949384
11,coupe_11,-34.89814889674855
12,coupe_12,-34.15218532081647
13,coupe_13,-32.980413905841985
14,coupe_14,-32.531660498071986
15,coupe_15,-29.401246990280022
16,coupe_16,-31.462878635654956
17,coupe_17,-38.47799488725273
