,numero,centroid
0,coupe_0,26.363267347006975
1,coupe_1,22.93277265779696
2,coupe_2,33.959335761430516
3,coupe_3,23.06038574090052
4,coupe_4,21.080410917264192
5,coupe_5,23.895621261245296
6,coupe_6,27.38213957147442
7,coupe_7,63.42352831778728
8,coupe_8,26.060126218328882
9,coupe_9,19.089577799688463
10,coupe_10,19.500309365177348
11,coupe_11,28.20033537273182
12,coupe_12,23.09239677293781
13,coupe_13,24.335743492061006
14,coupe_14,32.2379890380026
15,coupe_15,28.176408175320056
