,numero,intensitemax
0,coupe_0,-30.42742038710838
1,coupe_1,-33.051302168565805
2,coupe_2,-43.45338525768406
3,coupe_3,-28.325899843575648
4,coupe_4,-32.24927279555044
5,coupe_5,-34.4613331803414
6,coupe_6,-31.13343983870425
7,coupe_7,-27.406514110416996
8,coupe_8,-25.974563371493183
9,coupe_9,-28.616679874088323
10,coupe_10,-28.666978971483278
11,coupe_11,-36.11438977240218
12,coupe_12,-31.46687838574049
13,coupe_13,-49.82327893838378
14,coupe_14,-32.48453068603186
15,coupe_15,-43.95595826104572
16,coupe_16,-37.01336830021206
17,coupe_17,-31.46147349340189
18,coupe_18,-42.971634040770894
19,coupe_19,-40.54006885236148
20,coupe_20,-43.579429637743075
