,numero,intensitemax
0,coupe_0,-33.85648531612407
1,coupe_1,-40.64758485253229
2,coupe_2,-41.81771849793414
3,coupe_3,-48.71827024530734
4,coupe_4,-38.65928239167492
5,coupe_5,-43.5557938807419
6,coupe_6,-37.13838126863009
7,coupe_7,-50.144501115469296
8,coupe_8,-35.73262068330612
9,coupe_9,-36.11691501904491
10,coupe_10,-37.92483182851854
11,coupe_11,-29.027240772629497
12,coupe_12,-38.90587232840568
13,coupe_13,-45.8463444097442
14,coupe_14,-28.417133865057703
15,coupe_15,-28.136246201483676
