,numero,centroid
0,coupe_0,152.79869646491875
1,coupe_1,153.7583097413052
2,coupe_2,170.3119723820571
3,coupe_3,190.30802538117345
4,coupe_4,127.69428878849443
5,coupe_5,121.10274222042955
6,coupe_6,119.47706681165252
7,coupe_7,198.36710357073233
8,coupe_8,142.82800145046744
9,coupe_9,113.90759109932065
10,coupe_10,121.50740468031903
11,coupe_11,162.97491989266334
12,coupe_12,169.53368351255415
13,coupe_13,136.65756104977535
14,coupe_14,132.32317783037757
15,coupe_15,148.20523905347548
