,numero,intensitemax
0,coupe_0,-35.81908157406404
1,coupe_1,-32.99584515287026
2,coupe_2,-29.596088733442826
3,coupe_3,-26.227794799835973
4,coupe_4,-29.23902448514108
5,coupe_5,-32.18219741205294
6,coupe_6,-24.82785022741624
7,coupe_7,-53.076534111552256
8,coupe_8,-27.013975303399388
9,coupe_9,-38.892238034320606
10,coupe_10,-29.067625731107
11,coupe_11,-25.511771081131215
12,coupe_12,-34.063692617096834
13,coupe_13,-32.121332468209424
14,coupe_14,-27.35707321358932
15,coupe_15,-26.496842555145406
