,numero,centroid
0,coupe_0,74.93387474014057
1,coupe_1,37.72998776312726
2,coupe_2,40.713391899606194
3,coupe_3,58.013395029527004
4,coupe_4,48.1395875696793
5,coupe_5,60.44046154758118
6,coupe_6,82.81900025315858
7,coupe_7,45.1953923705338
8,coupe_8,60.757502529834994
9,coupe_9,47.5033276278743
10,coupe_10,44.059182316399955
11,coupe_11,56.645036952240176
12,coupe_12,45.98784745689832
13,coupe_13,60.09592841933939
14,coupe_14,56.93437272786256
15,coupe_15,97.18649850943355
16,coupe_16,56.599386366034864
17,coupe_17,43.085890919884335
18,coupe_18,33.084825931623875
