,numero,centroid
0,coupe_0,92.55255783815272
1,coupe_1,79.04300829366215
2,coupe_2,41.27563472678926
3,coupe_3,112.7082432866689
4,coupe_4,74.55304290466307
5,coupe_5,118.98757615595696
6,coupe_6,87.9202411652885
7,coupe_7,59.25443581110603
8,coupe_8,55.94664425403048
9,coupe_9,83.53304168171974
10,coupe_10,96.49499779516836
11,coupe_11,45.43029528068768
12,coupe_12,91.57718810857614
13,coupe_13,31.926696695657846
14,coupe_14,72.01828756241329
15,coupe_15,31.656086250355067
16,coupe_16,68.63629679950452
17,coupe_17,101.75487931785838
18,coupe_18,21.51783541476019
19,coupe_19,85.9331008655561
20,coupe_20,29.133407592026437
