,numero,centroid
0,coupe_0,27.442535762280052
1,coupe_1,27.937110883953892
2,coupe_2,32.334554331729585
3,coupe_3,34.613556074325814
4,coupe_4,28.135683730774698
5,coupe_5,28.454317604580663
6,coupe_6,25.138618754295383
7,coupe_7,24.842831611962108
8,coupe_8,23.57326333542683
9,coupe_9,32.57000153397152
10,coupe_10,22.120773494124848
11,coupe_11,28.803721854387792
12,coupe_12,22.418499828865528
13,coupe_13,25.44111228938825
14,coupe_14,21.4889355467823
15,coupe_15,23.424555394598872
16,coupe_16,28.667612573851937
17,coupe_17,39.89855889570464
