,t,Vdby
0,4.11,138.08348736568325
1,4.110625,138.0759028548207
2,4.11125,138.0964739960189
3,4.111875,138.11052096870097
4,4.1125,138.07807053380327
5,4.113125,138.04441056558628
6,4.11375,138.02698650831286
7,4.114375,138.02698650831286
8,4.115,138.01935247838247
9,4.115625,138.0302561825988
10,4.11625,138.05202261333062
11,4.116875,138.07373463473004
12,4.1175,138.00078470974648
13,4.118125,137.93052434979109
14,4.11875,137.91176551332526
15,4.119375,137.92942200958555
16,4.12,137.94374153160308
17,4.120625,137.9503425880105
18,4.12125,137.92831952946247
19,4.121875,137.86413506119698
20,4.1225,137.80618433799896
21,4.123125,137.8095381792034
22,4.12375,137.80059172326833
23,4.124375,137.77818518527062
24,4.125,137.74559269060046
25,4.125625,137.72981450344963
26,4.12625,137.72191464875493
27,4.126875,137.71513762138534
28,4.1275,137.70043589724597
29,4.128125,137.68230724023337
30,4.12875,137.67322870307237
31,4.129375,137.68003849537575
32,4.13,137.64023923253316
33,4.130625,137.592238141317
34,4.13125,137.54166513301303
35,4.131875,137.5266665817276
36,4.1325,137.5681377516199
37,4.133125,137.58306492368493
38,4.13375,137.46989964512338
39,4.134375,137.475709216364
40,4.135,137.47919309486707
41,4.135625,137.45943261476887
42,4.13625,137.42795562974968
43,4.136875,137.4115892110537
44,4.1375,137.4186071669739
45,4.138125,137.48963635398934
46,4.13875,137.47454761293358
47,4.139375,137.4629230265651
48,4.14,137.49775021692224
49,4.140625,137.43262609075106
50,4.14125,137.44312545496587
51,4.141875,137.50817120154127
52,4.1425,137.44195948548455
53,4.143125,137.4186071669739
54,4.14375,137.40573657985183
55,4.144375,137.37053773536408
56,4.145,137.44778776835642
57,4.145625,137.4907959414202
58,4.14625,137.47222393992934
59,4.146875,137.491955374064
60,4.1475,137.48035407724373
61,4.148125,137.46059624122088
62,4.14875,137.48847661173005
63,4.149375,137.52204642755586
64,4.15,137.535899524014
65,4.150625,137.5116420865577
66,4.15125,137.58421210583518
67,4.151875,137.6128425280857
68,4.1525,137.5979664866002
69,4.153125,137.58650601569616
70,4.15375,137.5910920187795
71,4.154375,137.592238141317
72,4.155,137.56928690682938
73,4.155625,137.58650601569616
74,4.15625,137.58879931990433
75,4.156875,137.5669884443555
76,4.1575,137.58650601569616
77,4.158125,137.6105555639761
78,4.15875,137.62997559229967
79,4.159375,137.61741465064847
80,4.16,137.63681936649854
81,4.160625,137.65504311226158
82,4.16125,137.65845581205198
83,4.161875,137.62997559229967
84,4.1625,137.59682111973126
85,4.163125,137.57158476124437
86,4.16375,137.61741465064847
87,4.164375,137.59682111973126
88,4.165,137.57388200792218
89,4.165625,137.61969980973507
90,4.16625,137.57962246787474
91,4.166875,137.5646893735009
92,4.1675,137.5979664866002
93,4.168125,137.5669884443555
94,4.16875,137.5761786471841
95,4.169375,137.59567560180832
96,4.17,137.5531848822322
97,4.170625,137.61969980973507
98,4.17125,137.66300399366554
99,4.171875,137.6128425280857
100,4.1725,137.6242683251004
101,4.173125,137.6128425280857
102,4.17375,137.57847467935133
103,4.174375,137.54397030543578
104,4.175,137.56583898499593
105,4.175625,137.60941185607555
106,4.17625,137.64821368747937
107,4.176875,137.6208421638681
108,4.1775,137.58994574498857
109,4.178125,137.57158476124437
110,4.17875,137.57962246787474
111,4.179375,137.56123962580025
112,4.18,137.52782123638377
113,4.180625,137.50006707200083
114,4.18125,137.4907959414202
115,4.181875,137.5174238145473
116,4.1825,137.59452993279154
117,4.183125,137.61741465064847
118,4.18375,137.5979664866002
119,4.184375,137.55088215431888
120,4.185,137.56238969394335
121,4.185625,137.57962246787474
122,4.18625,137.60025676733542
123,4.186875,137.62312642151127
124,4.1875,137.52551177355758
125,4.188125,137.47454761293358
126,4.18875,137.5046989290033
127,4.189375,137.5046989290033
128,4.19,137.50238330925134
129,4.190625,137.4942737751556
130,4.19125,137.466412036308
131,4.191875,137.5070139315858
132,4.1925,137.56238969394335
133,4.193125,137.6128425280857
134,4.19375,137.58191759000147
135,4.194375,137.58077010474474
136,4.195,137.60025676733542
137,4.195625,137.56583898499593
138,4.19625,137.61969980973507
139,4.196875,137.70043589724597
140,4.1975,137.75009548470757
141,4.198125,137.69703965491996
142,4.19875,137.67322870307237
143,4.199375,137.70383081213697
144,4.2,137.74221406249768
145,4.200625,137.73319795722406
146,4.20125,137.70948605658316
147,4.201875,137.7433404178955
148,4.2025,137.81847542978028
149,4.203125,137.8418920538096
150,4.20375,137.7512208186002
151,4.204375,137.8095381792034
152,4.205,137.8240565452059
153,4.205625,137.79499550528075
154,4.20625,137.80282920129156
155,4.206875,137.82070830630622
156,4.2075,137.83074915345128
157,4.208125,137.8084203760183
158,4.20875,137.83743660891167
159,4.209375,137.8585796471041
160,4.21,137.85746813777533
161,4.210625,137.84300555802727
162,4.21125,137.86191332192456
163,4.211875,137.89849954719085
164,4.2125,137.91728702494598
165,4.213125,137.88742907712475
166,4.21375,137.86635623232223
167,4.214375,137.88853675928377
168,4.215,137.91839090620033
169,4.215625,137.93603395329842
170,4.21625,137.9393380386631
171,4.216875,137.9095559255143
172,4.2175,137.90292378751982
173,4.218125,137.90734577546723
174,4.21875,137.9106607896814
175,4.219375,137.89517988743785
176,4.22,137.896286581666
177,4.220625,137.9217017084657
178,4.22125,137.89849954719085
179,4.221875,137.90402949557787
180,4.2225,137.92501124923277
181,4.223125,137.94374153160308
182,4.22375,137.9514422765146
183,4.224375,137.9690183839675
184,4.225,138.01389548904797
185,4.225625,137.99531603888772
186,4.22625,138.00078470974648
187,4.226875,138.02916642792223
188,4.2275,138.0476736886494
189,4.228125,138.0932291583105
190,4.22875,138.1385469461791
191,4.229375,138.14930213531713
192,4.23,138.16111748197534
193,4.230625,138.19860519505662
194,4.23125,138.26991919234248
195,4.231875,138.30905203376958
196,4.2325,138.31327207011546
197,4.233125,138.3079967042454
198,4.23375,138.35431033118988
199,4.234375,138.35116041650872
200,4.235,138.3794686098591
201,4.235625,138.49282094834325
202,4.23625,138.54535361621765
203,4.236875,138.57508404353305
204,4.2375,138.5863345350699
205,4.238125,138.57201319689048
206,4.23875,138.62305277046588
207,4.239375,138.6839069869577
