,t,Vdbx
0,11.04,141.02459446986327
1,11.040625,141.0299963826549
2,11.04125,141.01146153510297
3,11.041875,140.98203356417113
4,11.0425,140.98978743867113
5,11.043125,141.00604807924805
6,11.04375,141.01146153510297
7,11.044375,140.992887051386
8,11.045,140.98203356417113
9,11.045625,140.98978743867113
10,11.04625,141.00604807924805
11,11.046875,140.97194316803214
12,11.0475,140.93536439321676
13,11.048125,140.9174078489872
14,11.04875,140.94082206831814
15,11.049375,140.9174078489872
16,11.05,140.89471394901014
17,11.050625,140.87902836526553
18,11.05125,140.87431716122413
19,11.051875,140.86016819759902
20,11.0525,140.8578077945849
21,11.053125,140.90254613136054
22,11.05375,140.89628095057276
23,11.054375,140.90254613136054
24,11.055,140.9361442710748
25,11.055625,140.94393920082533
26,11.05625,140.9127174215644
27,11.056875,140.8727461918514
28,11.0575,140.8907952078482
29,11.058125,140.8672455604226
30,11.05875,140.85938146786359
31,11.059375,140.89393034220387
32,11.06,140.94393920082533
33,11.060625,140.95250555163568
34,11.06125,140.93380442740116
35,11.061875,140.94471830919363
36,11.0625,140.9828092631793
37,11.063125,141.02227833555202
38,11.06375,141.04541193313497
39,11.064375,141.0692520985091
40,11.065,141.08843048925073
41,11.065625,141.1090956988248
42,11.06625,141.1685204891401
43,11.066875,141.14875736425878
44,11.0675,141.09455864164397
45,11.068125,141.04233101099996
46,11.06875,141.0960900044191
47,11.069375,141.1738336563846
48,11.07,141.25690226554102
49,11.070625,141.2313112376968
50,11.07125,141.21773246009323
51,11.071875,141.21999706436577
52,11.0725,141.25314360451128
53,11.073125,141.25840527465326
54,11.07375,141.25840527465326
55,11.074375,141.25915668169023
56,11.075,141.29739250119613
57,11.075625,141.31234111453745
58,11.07625,141.31159429456898
59,11.076875,141.30935344931302
60,11.0775,141.33471590701856
61,11.078125,141.36371723492323
62,11.07875,141.38596024231057
63,11.079375,141.37039612001823
64,11.08,141.34960047862964
65,11.080625,141.3198057846755
66,11.08125,141.2456213994529
67,11.081875,141.2614105128592
68,11.0825,141.28990853585458
69,11.083125,141.27417118782836
70,11.08375,141.27492123226887
71,11.084375,141.25990802372934
72,11.085,141.23055741781016
73,11.085625,141.2380926743234
74,11.08625,141.22150647259585
75,11.086875,141.2079123463982
76,11.0875,141.23357230490674
77,11.088125,141.22829556554146
78,11.08875,141.2245245023823
79,11.089375,141.23055741781016
80,11.09,141.24035197714224
81,11.090625,141.25539899630257
82,11.09125,141.25990802372934
83,11.091875,141.21622239582692
84,11.0925,141.1768682933752
85,11.093125,141.15864454761217
86,11.09375,141.1715569826645
87,11.094375,141.1434288309453
88,11.095,141.14875736425878
89,11.095625,141.17231594021123
90,11.09625,141.1745924150344
91,11.096875,141.16548293371903
92,11.0975,141.15104002109067
93,11.098125,141.13276194759305
94,11.09875,141.08996293273353
95,11.099375,141.08459819726795
96,11.1,141.10297779778787
97,11.100625,141.0477219077875
98,11.10125,141.04233101099996
99,11.101875,141.0438716086695
100,11.1025,141.01996158346768
