,az,t
128155,3.877,80.096875
128156,3.856,80.0975
128157,3.778,80.098125
128158,3.703,80.09875
128159,3.71,80.099375
128160,3.64,80.1
128161,3.57,80.100625
128162,3.515,80.10125
128163,3.515,80.101875
128164,3.508,80.1025
128165,3.488,80.103125
128166,3.434,80.10375
128167,3.407,80.104375
128168,3.394,80.105
128169,3.39,80.105625
128170,3.339,80.10625
128171,3.324,80.106875
128172,3.321,80.1075
128173,3.257,80.108125
128174,3.234,80.10875
128175,3.26,80.109375
128176,3.352,80.11
128177,3.357,80.110625
128178,3.338,80.11125
128179,3.305,80.111875
128180,3.278,80.1125
128181,3.346,80.113125
128182,3.417,80.11375
128183,3.41,80.114375
128184,3.415,80.115
128185,3.426,80.115625
128186,3.438,80.11625
128187,3.442,80.116875
128188,3.507,80.1175
128189,3.577,80.118125
128190,3.577,80.11875
128191,3.583,80.119375
128192,3.634,80.12
128193,3.739,80.120625
128194,3.715,80.12125
128195,3.738,80.121875
128196,3.803,80.1225
128197,3.918,80.123125
128198,3.952,80.12375
128199,3.975,80.124375
128200,4.012,80.125
128201,4.059,80.125625
128202,4.089,80.12625
128203,4.11,80.126875
128204,4.147,80.1275
128205,4.2,80.128125
128206,4.259,80.12875
128207,4.32,80.129375
128208,4.343,80.13
128209,4.346,80.130625
128210,4.344,80.13125
128211,4.432,80.131875
128212,4.492,80.1325
128213,4.53,80.133125
128214,4.547,80.13375
128215,4.612,80.134375
128216,4.624,80.135
128217,4.577,80.135625
128218,4.642,80.13625
128219,4.675,80.136875
128220,4.694,80.1375
128221,4.717,80.138125
128222,4.764,80.13875
128223,4.799,80.139375
128224,4.813,80.14
128225,4.861,80.140625
128226,4.906,80.14125
128227,4.952,80.141875
128228,5.007,80.1425
128229,4.989,80.143125
128230,4.987,80.14375
128231,5.045,80.144375
128232,5.067,80.145
128233,5.098,80.145625
128234,5.134,80.14625
128235,5.137,80.146875
128236,5.166,80.1475
128237,5.186,80.148125
128238,5.173,80.14875
128239,5.2,80.149375
128240,5.242,80.15
128241,5.29,80.150625
128242,5.276,80.15125
128243,5.265,80.151875
128244,5.282,80.1525
128245,5.371,80.153125
128246,5.376,80.15375
128247,5.352,80.154375
128248,5.313,80.155
128249,5.375,80.155625
128250,5.377,80.15625
128251,5.357,80.156875
128252,5.374,80.1575
128253,5.402,80.158125
128254,5.399,80.15875
128255,5.349,80.159375
128256,5.315,80.16
128257,5.309,80.160625
128258,5.317,80.16125
128259,5.304,80.161875
128260,5.256,80.1625
128261,5.242,80.163125
128262,5.303,80.16375
128263,5.348,80.164375
128264,5.36,80.165
128265,5.348,80.165625
128266,5.341,80.16625
128267,5.361,80.166875
128268,5.391,80.1675
128269,5.418,80.168125
128270,5.381,80.16875
128271,5.363,80.169375
128272,5.373,80.17
128273,5.376,80.170625
128274,5.343,80.17125
128275,5.315,80.171875
128276,5.349,80.1725
128277,5.339,80.173125
128278,5.326,80.17375
128279,5.318,80.174375
128280,5.274,80.175
128281,5.27,80.175625
128282,5.281,80.17625
128283,5.253,80.176875
128284,5.204,80.1775
128285,5.185,80.178125
128286,5.219,80.17875
128287,5.216,80.179375
128288,5.181,80.18
128289,5.141,80.180625
128290,5.189,80.18125
128291,5.18,80.181875
128292,5.12,80.1825
128293,5.002,80.183125
128294,5.02,80.18375
128295,5.02,80.184375
128296,4.993,80.185
128297,4.946,80.185625
128298,4.939,80.18625
128299,4.921,80.186875
128300,4.836,80.1875
128301,4.824,80.188125
128302,4.801,80.18875
128303,4.757,80.189375
128304,4.72,80.19
128305,4.651,80.190625
128306,4.581,80.19125
128307,4.558,80.191875
128308,4.505,80.1925
128309,4.464,80.193125
128310,4.443,80.19375
128311,4.416,80.194375
128312,4.353,80.195
128313,4.283,80.195625
128314,4.269,80.19625
128315,4.242,80.196875
128316,4.216,80.1975
128317,4.195,80.198125
128318,4.228,80.19875
128319,4.239,80.199375
128320,4.227,80.2
128321,4.186,80.200625
128322,4.143,80.20125
128323,4.103,80.201875
