,az,t
30402,5.521,19.00125
30403,5.521,19.001875
30404,5.502,19.0025
30405,5.469,19.003125
30406,5.435,19.00375
30407,5.476,19.004375
30408,5.507,19.005
30409,5.526,19.005625
30410,5.526,19.00625
30411,5.498,19.006875
30412,5.516,19.0075
30413,5.574,19.008125
30414,5.52,19.00875
30415,5.541,19.009375
30416,5.581,19.01
30417,5.57,19.010625
30418,5.598,19.01125
30419,5.609,19.011875
30420,5.594,19.0125
30421,5.617,19.013125
30422,5.635,19.01375
30423,5.64,19.014375
30424,5.613,19.015
30425,5.637,19.015625
30426,5.649,19.01625
30427,5.622,19.016875
30428,5.618,19.0175
30429,5.632,19.018125
30430,5.658,19.01875
30431,5.675,19.019375
30432,5.669,19.02
30433,5.656,19.020625
30434,5.646,19.02125
30435,5.646,19.021875
30436,5.656,19.0225
30437,5.677,19.023125
30438,5.697,19.02375
30439,5.713,19.024375
30440,5.711,19.025
30441,5.674,19.025625
30442,5.666,19.02625
30443,5.674,19.026875
30444,5.691,19.0275
30445,5.661,19.028125
30446,5.624,19.02875
30447,5.6,19.029375
30448,5.627,19.03
30449,5.62,19.030625
30450,5.615,19.03125
30451,5.622,19.031875
30452,5.625,19.0325
30453,5.602,19.033125
30454,5.565,19.03375
30455,5.545,19.034375
30456,5.546,19.035
30457,5.547,19.035625
30458,5.54,19.03625
30459,5.534,19.036875
30460,5.491,19.0375
30461,5.435,19.038125
30462,5.469,19.03875
30463,5.475,19.039375
30464,5.485,19.04
30465,5.523,19.040625
30466,5.463,19.04125
30467,5.44,19.041875
30468,5.456,19.0425
30469,5.429,19.043125
30470,5.376,19.04375
30471,5.333,19.044375
30472,5.347,19.045
30473,5.346,19.045625
30474,5.322,19.04625
30475,5.279,19.046875
30476,5.32,19.0475
30477,5.326,19.048125
30478,5.312,19.04875
30479,5.298,19.049375
30480,5.251,19.05
30481,5.221,19.050625
30482,5.224,19.05125
30483,5.275,19.051875
30484,5.258,19.0525
30485,5.182,19.053125
30486,5.056,19.05375
30487,5.036,19.054375
30488,5.053,19.055
30489,5.084,19.055625
30490,5.069,19.05625
30491,5.015,19.056875
30492,4.946,19.0575
30493,4.98,19.058125
30494,4.958,19.05875
30495,4.922,19.059375
30496,4.905,19.06
30497,4.873,19.060625
30498,4.854,19.06125
30499,4.848,19.061875
30500,4.821,19.0625
30501,4.822,19.063125
30502,4.811,19.06375
30503,4.733,19.064375
30504,4.701,19.065
30505,4.688,19.065625
30506,4.687,19.06625
30507,4.649,19.066875
30508,4.605,19.0675
30509,4.563,19.068125
30510,4.539,19.06875
30511,4.537,19.069375
30512,4.512,19.07
30513,4.445,19.070625
30514,4.477,19.07125
30515,4.456,19.071875
30516,4.399,19.0725
30517,4.358,19.073125
30518,4.366,19.07375
30519,4.368,19.074375
30520,4.331,19.075
30521,4.259,19.075625
30522,4.211,19.07625
30523,4.187,19.076875
30524,4.167,19.0775
30525,4.147,19.078125
30526,4.117,19.07875
30527,4.066,19.079375
30528,4.055,19.08
30529,4.04,19.080625
30530,4.014,19.08125
30531,3.963,19.081875
30532,3.912,19.0825
30533,3.874,19.083125
30534,3.874,19.08375
30535,3.891,19.084375
30536,3.881,19.085
30537,3.832,19.085625
30538,3.879,19.08625
30539,3.867,19.086875
30540,3.812,19.0875
30541,3.744,19.088125
30542,3.722,19.08875
30543,3.705,19.089375
30544,3.678,19.09
30545,3.628,19.090625
30546,3.627,19.09125
30547,3.647,19.091875
30548,3.572,19.0925
30549,3.548,19.093125
30550,3.54,19.09375
30551,3.53,19.094375
30552,3.457,19.095
30553,3.428,19.095625
30554,3.443,19.09625
30555,3.443,19.096875
30556,3.419,19.0975
30557,3.389,19.098125
30558,3.369,19.09875
30559,3.295,19.099375
30560,3.239,19.1
30561,3.216,19.100625
30562,3.274,19.10125
30563,3.251,19.101875
30564,3.181,19.1025
30565,3.106,19.103125
30566,3.121,19.10375
30567,3.15,19.104375
30568,3.169,19.105
30569,3.067,19.105625
30570,3.022,19.10625
30571,3.016,19.106875
30572,3.013,19.1075
30573,3.015,19.108125
30574,2.997,19.10875
30575,2.942,19.109375
30576,2.969,19.11
30577,2.946,19.110625
30578,2.883,19.11125
30579,2.853,19.111875
30580,2.857,19.1125
30581,2.862,19.113125
30582,2.841,19.11375
30583,2.827,19.114375
30584,2.832,19.115
30585,2.851,19.115625
30586,2.817,19.11625
30587,2.783,19.116875
30588,2.768,19.1175
30589,2.806,19.118125
30590,2.752,19.11875
30591,2.732,19.119375
30592,2.766,19.12
30593,2.711,19.120625
30594,2.727,19.12125
30595,2.77,19.121875
30596,2.76,19.1225
30597,2.758,19.123125
30598,2.739,19.12375
30599,2.692,19.124375
30600,2.742,19.125
30601,2.755,19.125625
30602,2.744,19.12625
30603,2.744,19.126875
30604,2.723,19.1275
30605,2.702,19.128125
30606,2.692,19.12875
30607,2.745,19.129375
30608,2.762,19.13
30609,2.747,19.130625
30610,2.77,19.13125
30611,2.78,19.131875
30612,2.775,19.1325
30613,2.751,19.133125
30614,2.746,19.13375
30615,2.76,19.134375
30616,2.793,19.135
30617,2.806,19.135625
30618,2.822,19.13625
30619,2.831,19.136875
30620,2.818,19.1375
30621,2.839,19.138125
30622,2.824,19.13875
30623,2.758,19.139375
30624,2.751,19.14
30625,2.753,19.140625
30626,2.757,19.14125
30627,2.75,19.141875
30628,2.757,19.1425
30629,2.785,19.143125
30630,2.843,19.14375
30631,2.828,19.144375
30632,2.813,19.145
30633,2.799,19.145625
30634,2.785,19.14625
30635,2.78,19.146875
30636,2.775,19.1475
30637,2.768,19.148125
30638,2.783,19.14875
30639,2.799,19.149375
30640,2.805,19.15
30641,2.754,19.150625
30642,2.782,19.15125
30643,2.823,19.151875
30644,2.816,19.1525
30645,2.768,19.153125
30646,2.75,19.15375
30647,2.774,19.154375
30648,2.794,19.155
30649,2.801,19.155625
30650,2.801,19.15625
30651,2.801,19.156875
30652,2.793,19.1575
30653,2.815,19.158125
30654,2.882,19.15875
30655,2.797,19.159375
30656,2.777,19.16
30657,2.796,19.160625
30658,2.796,19.16125
30659,2.799,19.161875
30660,2.81,19.1625
30661,2.834,19.163125
30662,2.76,19.16375
30663,2.755,19.164375
30664,2.795,19.165
30665,2.755,19.165625
30666,2.769,19.16625
30667,2.766,19.166875
30668,2.688,19.1675
30669,2.697,19.168125
30670,2.705,19.16875
30671,2.703,19.169375
30672,2.679,19.17
30673,2.658,19.170625
30674,2.641,19.17125
30675,2.635,19.171875
30676,2.637,19.1725
30677,2.645,19.173125
30678,2.654,19.17375
30679,2.583,19.174375
30680,2.615,19.175
30681,2.689,19.175625
30682,2.703,19.17625
30683,2.639,19.176875
30684,2.625,19.1775
30685,2.71,19.178125
30686,2.659,19.17875
30687,2.626,19.179375
30688,2.614,19.18
30689,2.642,19.180625
30690,2.632,19.18125
30691,2.611,19.181875
30692,2.587,19.1825
30693,2.576,19.183125
30694,2.582,19.18375
30695,2.598,19.184375
30696,2.585,19.185
30697,2.581,19.185625
30698,2.58,19.18625
30699,2.577,19.186875
30700,2.576,19.1875
30701,2.584,19.188125
30702,2.595,19.18875
30703,2.534,19.189375
30704,2.518,19.19
30705,2.525,19.190625
30706,2.532,19.19125
30707,2.559,19.191875
30708,2.56,19.1925
30709,2.524,19.193125
30710,2.527,19.19375
30711,2.518,19.194375
30712,2.496,19.195
30713,2.459,19.195625
30714,2.465,19.19625
30715,2.48,19.196875
30716,2.49,19.1975
30717,2.437,19.198125
30718,2.402,19.19875
30719,2.375,19.199375
30720,2.314,19.2
30721,2.301,19.200625
30722,2.294,19.20125
30723,2.267,19.201875
30724,2.214,19.2025
30725,2.217,19.203125
30726,2.26,19.20375
30727,2.22,19.204375
30728,2.21,19.205
30729,2.207,19.205625
30730,2.19,19.20625
30731,2.122,19.206875
30732,2.088,19.2075
30733,2.097,19.208125
30734,2.086,19.20875
30735,2.065,19.209375
30736,2.063,19.21
30737,2.138,19.210625
30738,2.113,19.21125
30739,2.068,19.211875
30740,2.02,19.2125
30741,1.997,19.213125
30742,1.993,19.21375
30743,2.007,19.214375
30744,2.034,19.215
30745,1.989,19.215625
30746,1.964,19.21625
30747,2.005,19.216875
30748,1.977,19.2175
30749,1.984,19.218125
30750,2.004,19.21875
30751,1.922,19.219375
30752,1.926,19.22
30753,1.936,19.220625
30754,1.895,19.22125
30755,1.901,19.221875
30756,1.933,19.2225
30757,1.974,19.223125
30758,1.893,19.22375
30759,1.87,19.224375
30760,1.876,19.225
30761,1.89,19.225625
30762,1.886,19.22625
30763,1.885,19.226875
30764,1.889,19.2275
30765,1.845,19.228125
30766,1.853,19.22875
30767,1.862,19.229375
30768,1.773,19.23
30769,1.794,19.230625
30770,1.824,19.23125
30771,1.834,19.231875
30772,1.793,19.2325
30773,1.779,19.233125
30774,1.791,19.23375
30775,1.841,19.234375
30776,1.856,19.235
30777,1.846,19.235625
30778,1.812,19.23625
30779,1.758,19.236875
30780,1.752,19.2375
30781,1.78,19.238125
30782,1.77,19.23875
30783,1.767,19.239375
30784,1.755,19.24
30785,1.718,19.240625
30786,1.736,19.24125
30787,1.721,19.241875
30788,1.675,19.2425
30789,1.723,19.243125
30790,1.715,19.24375
30791,1.693,19.244375
30792,1.703,19.245
30793,1.687,19.245625
30794,1.683,19.24625
30795,1.698,19.246875
30796,1.654,19.2475
30797,1.674,19.248125
30798,1.697,19.24875
30799,1.595,19.249375
30800,1.625,19.25
30801,1.667,19.250625
30802,1.681,19.25125
30803,1.687,19.251875
30804,1.686,19.2525
30805,1.681,19.253125
30806,1.681,19.25375
30807,1.691,19.254375
30808,1.69,19.255
30809,1.663,19.255625
30810,1.693,19.25625
30811,1.722,19.256875
30812,1.743,19.2575
30813,1.739,19.258125
30814,1.741,19.25875
30815,1.745,19.259375
30816,1.752,19.26
30817,1.795,19.260625
30818,1.824,19.26125
30819,1.835,19.261875
30820,1.856,19.2625
30821,1.836,19.263125
30822,1.813,19.26375
30823,1.843,19.264375
30824,1.808,19.265
30825,1.794,19.265625
30826,1.824,19.26625
30827,1.824,19.266875
30828,1.812,19.2675
30829,1.805,19.268125
30830,1.853,19.26875
30831,1.844,19.269375
30832,1.815,19.27
30833,1.778,19.270625
30834,1.73,19.27125
30835,1.742,19.271875
30836,1.791,19.2725
30837,1.791,19.273125
30838,1.753,19.27375
30839,1.72,19.274375
30840,1.724,19.275
30841,1.739,19.275625
30842,1.746,19.27625
30843,1.742,19.276875
30844,1.728,19.2775
30845,1.721,19.278125
30846,1.723,19.27875
30847,1.736,19.279375
30848,1.741,19.28
30849,1.729,19.280625
30850,1.702,19.28125
30851,1.736,19.281875
30852,1.728,19.2825
30853,1.704,19.283125
30854,1.7,19.28375
30855,1.677,19.284375
30856,1.686,19.285
30857,1.743,19.285625
30858,1.716,19.28625
30859,1.703,19.286875
30860,1.709,19.2875
30861,1.756,19.288125
30862,1.772,19.28875
30863,1.784,19.289375
30864,1.804,19.29
30865,1.828,19.290625
30866,1.79,19.29125
30867,1.727,19.291875
30868,1.822,19.2925
30869,1.895,19.293125
30870,1.933,19.29375
30871,1.912,19.294375
30872,1.966,19.295
30873,2.007,19.295625
30874,2.031,19.29625
30875,2.092,19.296875
30876,2.123,19.2975
30877,2.157,19.298125
30878,2.235,19.29875
30879,2.345,19.299375
30880,2.419,19.3
30881,2.444,19.300625
30882,2.499,19.30125
30883,2.559,19.301875
30884,2.634,19.3025
30885,2.746,19.303125
30886,2.839,19.30375
30887,2.918,19.304375
30888,2.983,19.305
30889,3.074,19.305625
30890,3.193,19.30625
30891,3.316,19.306875
30892,3.357,19.3075
30893,3.459,19.308125
30894,3.561,19.30875
30895,3.626,19.309375
30896,3.758,19.31
30897,3.879,19.310625
30898,3.983,19.31125
30899,4.054,19.311875
30900,4.174,19.3125
30901,4.308,19.313125
30902,4.431,19.31375
30903,4.538,19.314375
30904,4.645,19.315
30905,4.753,19.315625
30906,4.862,19.31625
30907,5.016,19.316875
30908,5.167,19.3175
30909,5.241,19.318125
30910,5.379,19.31875
30911,5.536,19.319375
30912,5.701,19.32
30913,5.823,19.320625
30914,5.969,19.32125
30915,6.121,19.321875
30916,6.243,19.3225
30917,6.344,19.323125
30918,6.454,19.32375
30919,6.59,19.324375
30920,6.749,19.325
30921,6.888,19.325625
30922,6.996,19.32625
30923,7.03,19.326875
30924,7.145,19.3275
30925,7.266,19.328125
30926,7.344,19.32875
30927,7.445,19.329375
30928,7.534,19.33
30929,7.616,19.330625
30930,7.724,19.33125
30931,7.795,19.331875
30932,7.849,19.3325
30933,7.904,19.333125
30934,7.961,19.33375
30935,8.041,19.334375
30936,8.143,19.335
30937,8.198,19.335625
30938,8.25,19.33625
30939,8.295,19.336875
30940,8.322,19.3375
30941,8.397,19.338125
30942,8.461,19.33875
30943,8.495,19.339375
30944,8.543,19.34
30945,8.588,19.340625
30946,8.618,19.34125
30947,8.588,19.341875
30948,8.621,19.3425
30949,8.649,19.343125
30950,8.639,19.34375
30951,8.625,19.344375
30952,8.599,19.345
30953,8.564,19.345625
30954,8.543,19.34625
30955,8.55,19.346875
30956,8.551,19.3475
30957,8.517,19.348125
30958,8.504,19.34875
30959,8.467,19.349375
30960,8.405,19.35
30961,8.364,19.350625
30962,8.339,19.35125
30963,8.314,19.351875
30964,8.266,19.3525
30965,8.231,19.353125
30966,8.169,19.35375
30967,8.075,19.354375
30968,8.0,19.355
30969,7.966,19.355625
30970,7.939,19.35625
30971,7.854,19.356875
30972,7.825,19.3575
30973,7.783,19.358125
30974,7.705,19.35875
30975,7.694,19.359375
