,numero,intensitemax
0,coupe_0,-36.100887338331376
1,coupe_1,-32.386252175717
2,coupe_2,-31.561807091678432
3,coupe_3,-46.668825140328806
4,coupe_4,-47.9798016283236
5,coupe_5,-34.08033618944622
6,coupe_6,-38.20860369950071
7,coupe_7,-33.80588048422417
8,coupe_8,-33.43280891431748
9,coupe_9,-32.8559439909436
10,coupe_10,-31.06576670196524
11,coupe_11,-44.40036374782861
12,coupe_12,-43.94593497844528
13,coupe_13,-32.72293283621146
14,coupe_14,-35.30564085019991
15,coupe_15,-38.55066648112815
