,numero,centroid
0,coupe_0,22.304322181688143
1,coupe_1,22.610706174891106
2,coupe_2,28.42032684892443
3,coupe_3,16.108863264448463
4,coupe_4,18.5296673878323
5,coupe_5,14.175963769299946
6,coupe_6,17.30888646358042
7,coupe_7,16.919405787045424
8,coupe_8,18.153590125776034
9,coupe_9,19.604698715949418
10,coupe_10,17.34408277134863
11,coupe_11,27.997408793783617
12,coupe_12,15.15084642020654
13,coupe_13,15.55456917135238
14,coupe_14,19.283972954048295
15,coupe_15,21.894691834746986
