,numero,intensitemax
0,coupe_0,-36.38450468773372
1,coupe_1,-38.831756236782994
2,coupe_2,-40.76726700184366
3,coupe_3,-35.09087349360436
4,coupe_4,-34.203617917568835
5,coupe_5,-39.493669915749635
6,coupe_6,-36.18153099940811
7,coupe_7,-38.848863201458826
8,coupe_8,-34.50541221625686
9,coupe_9,-36.32227106248206
10,coupe_10,-38.42699966912862
11,coupe_11,-34.49027874360894
12,coupe_12,-31.0581280481821
13,coupe_13,-39.13183155611696
14,coupe_14,-42.49524087636295
15,coupe_15,-34.221572687583134
16,coupe_16,-37.22228558883286
17,coupe_17,-38.16000959371213
18,coupe_18,-44.82757889910879
