,numero,intensitemax
0,coupe_0,-33.33278452313368
1,coupe_1,-35.38012921673971
2,coupe_2,-34.22641453659554
3,coupe_3,-32.57926672565789
4,coupe_4,-33.3126853795022
5,coupe_5,-40.11217445847806
6,coupe_6,-32.1863291737026
7,coupe_7,-35.33300619978364
8,coupe_8,-33.919458225929404
9,coupe_9,-34.94266096689279
10,coupe_10,-36.746066911810026
11,coupe_11,-31.354992134212104
12,coupe_12,-32.70940575750716
13,coupe_13,-34.11548514545157
14,coupe_14,-31.477945055253805
15,coupe_15,-31.119920374511203
