,numero,intensitemax
0,coupe_0,-32.3644144910499
1,coupe_1,-53.082375454475184
2,coupe_2,-37.10893020151103
3,coupe_3,-35.925654151469246
4,coupe_4,-43.67713362392373
5,coupe_5,-49.5939584389305
6,coupe_6,-38.918431571473604
7,coupe_7,-57.86740678144923
8,coupe_8,-45.734756249152724
9,coupe_9,-51.15779766703439
10,coupe_10,-49.61042293432548
11,coupe_11,-49.953291496493925
12,coupe_12,-40.242287358376046
13,coupe_13,-37.40096947510012
14,coupe_14,-32.40289687782292
15,coupe_15,-51.21252963495977
