,numero,intensitemax
0,coupe_0,-38.560785061566506
1,coupe_1,-38.4604579107704
2,coupe_2,-35.21449862849004
3,coupe_3,-44.82642819733969
4,coupe_4,-44.386592771376314
5,coupe_5,-37.135828985475285
6,coupe_6,-39.30436896761314
7,coupe_7,-36.10609599761468
8,coupe_8,-43.80364601737246
9,coupe_9,-42.62059208418197
10,coupe_10,-39.88966899006962
11,coupe_11,-33.966474256917834
12,coupe_12,-34.13761374692614
13,coupe_13,-43.84340980570181
14,coupe_14,-42.447756714074416
15,coupe_15,-37.775856302328755
