,t,Vdbx
0,8.036875,134.4674713403797
1,8.0375,134.26476923091323
2,8.038125,134.24962675603837
3,8.03875,134.3384214633352
4,8.039375,134.35008149528403
5,8.04,134.29329985725073
6,8.040625,134.25972467188765
7,8.04125,134.28827184574243
8,8.041875,134.28324092197707
9,8.0425,134.2479426281343
10,8.043125,134.19896033021524
11,8.04375,134.19896033021524
12,8.044375,134.1599149284586
13,8.045,134.18030833944235
14,8.045625,134.33508714865394
15,8.04625,134.22095207734066
16,8.046875,134.18370259100493
17,8.0475,134.2243304864218
18,8.048125,134.2310833650034
19,8.04875,134.27317032416713
20,8.049375,134.2714907554414
21,8.05,134.13947352352355
22,8.050625,134.2192623799055
23,8.05125,134.25804250094447
24,8.051875,134.2361445808238
25,8.0525,134.28827184574243
26,8.053125,134.365050001955
27,8.05375,134.40649434834884
28,8.054375,134.3100389058657
29,8.055,134.38828319405187
30,8.055625,134.38662573967454
31,8.05625,134.2614065171128
32,8.056875,134.37501469479332
33,8.0575,134.38994033221164
34,8.058125,134.3384214633352
35,8.05875,134.2412028492215
36,8.059375,134.24288828429772
37,8.06,134.2395170870351
38,8.060625,134.19896033021524
39,8.06125,134.13606194074677
40,8.061875,134.00888202055503
41,8.0625,133.87278052323097
42,8.063125,133.89034907622312
43,8.06375,133.81455087740736
44,8.064375,133.69331728051722
45,8.065,133.53935628589517
46,8.065625,133.58128636242625
47,8.06625,133.44749957492158
48,8.066875,133.1831056188126
49,8.0675,133.04686110125428
50,8.068125,132.9025479851678
51,8.06875,132.82154626650748
52,8.069375,132.87497370919053
53,8.07,132.7297579270673
54,8.070625,132.55550750458607
55,8.07125,132.38812821773556
56,8.071875,132.33161060171773
57,8.0725,132.278949535607
58,8.073125,132.17693644652823
59,8.07375,131.94732100532056
60,8.074375,131.92974267473087
61,8.075,132.00420612818655
62,8.075625,132.12332629215243
63,8.07625,131.89447892819493
64,8.076875,131.88785100750854
65,8.0775,131.97362197814326
66,8.078125,132.01074588728937
67,8.07875,132.02381065230665
68,8.079375,132.02381065230665
69,8.08,132.0172807261968
70,8.080625,132.0085665146426
71,8.08125,132.03902808267043
72,8.081875,132.06288745240363
73,8.0825,131.98892751450552
74,8.083125,131.94512565850283
75,8.08375,131.93194191252923
76,8.084375,131.95390371851025
77,8.085,131.9385362868594
78,8.085625,131.87900590527974
79,8.08625,131.81460811585382
80,8.086875,131.86793684600414
81,8.0875,131.77439559200113
82,8.088125,131.69340768928697
83,8.08875,131.70921459017
84,8.089375,131.4411597985261
85,8.09,131.40852356717946
86,8.090625,131.52682700411586
87,8.09125,131.31223449804116
88,8.091875,131.3263924304962
89,8.0925,131.31459575662254
90,8.093125,131.0776605328775
