,numero,intensitemax
0,coupe_0,-27.584913122493283
1,coupe_1,-30.589241590450108
2,coupe_2,-34.176915158250345
3,coupe_3,-48.94904334344568
4,coupe_4,-41.46746759877776
5,coupe_5,-36.938380900706676
6,coupe_6,-36.42282019521266
7,coupe_7,-33.38301114053112
8,coupe_8,-36.9469480909202
9,coupe_9,-33.84116093554208
10,coupe_10,-32.66084709185153
11,coupe_11,-35.477286060715926
12,coupe_12,-32.26426711162019
13,coupe_13,-36.14603305969071
14,coupe_14,-37.862366173561696
15,coupe_15,-26.19409708850614
