numero,intensitemax
coupe_0,-31.797213578046623
coupe_1,-30.622101683135433
coupe_2,-30.567180540968963
coupe_3,-28.42470592399005
coupe_4,-30.839453043757796
coupe_5,-31.05816907929606
coupe_6,-30.30083820984018
coupe_7,-31.477611701611433
coupe_8,-29.585769437341778
coupe_9,-30.644492061612986
coupe_10,-31.863430025875022
coupe_11,-31.313073894259947
coupe_12,-30.870113710137414
coupe_13,-25.87789373451553
coupe_14,-27.365200850900976
