,az,t
129742,3.398,81.08875
129743,3.404,81.089375
129744,3.375,81.09
129745,3.344,81.090625
129746,3.316,81.09125
129747,3.303,81.091875
129748,3.32,81.0925
129749,3.36,81.093125
129750,3.424,81.09375
129751,3.444,81.094375
129752,3.47,81.095
129753,3.511,81.095625
129754,3.599,81.09625
129755,3.668,81.096875
129756,3.721,81.0975
129757,3.755,81.098125
129758,3.82,81.09875
129759,3.863,81.099375
129760,3.879,81.1
129761,3.879,81.100625
129762,3.906,81.10125
129763,3.936,81.101875
129764,3.936,81.1025
129765,3.951,81.103125
129766,3.949,81.10375
129767,3.929,81.104375
129768,3.99,81.105
129769,4.034,81.105625
129770,4.065,81.10625
129771,4.086,81.106875
129772,4.07,81.1075
129773,4.086,81.108125
129774,4.161,81.10875
129775,4.144,81.109375
129776,4.153,81.11
129777,4.181,81.110625
129778,4.208,81.11125
129779,4.193,81.111875
129780,4.174,81.1125
129781,4.171,81.113125
129782,4.2,81.11375
129783,4.17,81.114375
129784,4.096,81.115
129785,4.045,81.115625
129786,4.017,81.11625
129787,3.968,81.116875
129788,3.863,81.1175
129789,3.924,81.118125
129790,3.928,81.11875
129791,3.877,81.119375
129792,3.908,81.12
129793,3.936,81.120625
129794,3.939,81.12125
129795,3.885,81.121875
129796,3.936,81.1225
129797,4.034,81.123125
129798,4.164,81.12375
129799,4.201,81.124375
129800,4.18,81.125
129801,4.122,81.125625
129802,4.044,81.12625
129803,3.94,81.126875
129804,3.899,81.1275
129805,3.944,81.128125
129806,3.893,81.12875
129807,3.867,81.129375
129808,3.865,81.13
129809,3.888,81.130625
129810,3.898,81.13125
129811,3.917,81.131875
129812,3.955,81.1325
129813,3.975,81.133125
129814,4.002,81.13375
129815,4.035,81.134375
129816,4.079,81.135
129817,4.068,81.135625
129818,4.058,81.13625
129819,4.079,81.136875
129820,4.109,81.1375
129821,4.204,81.138125
129822,4.324,81.13875
129823,4.252,81.139375
129824,4.307,81.14
129825,4.37,81.140625
129826,4.35,81.14125
129827,4.357,81.141875
129828,4.364,81.1425
129829,4.371,81.143125
129830,4.415,81.14375
129831,4.427,81.144375
129832,4.445,81.145
129833,4.52,81.145625
129834,4.462,81.14625
129835,4.404,81.146875
129836,4.385,81.1475
129837,4.623,81.148125
129838,4.753,81.14875
129839,4.825,81.149375
129840,4.896,81.15
129841,5.055,81.150625
129842,5.264,81.15125
129843,5.51,81.151875
129844,5.428,81.1525
129845,5.407,81.153125
129846,5.398,81.15375
129847,5.286,81.154375
129848,5.144,81.155
129849,5.054,81.155625
129850,5.061,81.15625
129851,4.756,81.156875
129852,4.551,81.1575
129853,4.431,81.158125
129854,4.322,81.15875
129855,4.18,81.159375
129856,4.044,81.16
129857,3.942,81.160625
129858,3.786,81.16125
129859,3.628,81.161875
129860,3.475,81.1625
129861,3.342,81.163125
129862,3.265,81.16375
129863,3.224,81.164375
129864,3.214,81.165
129865,3.198,81.165625
129866,3.174,81.16625
129867,3.144,81.166875
129868,3.124,81.1675
129869,3.165,81.168125
129870,3.223,81.16875
129871,3.244,81.169375
129872,3.282,81.17
129873,3.307,81.170625
129874,3.316,81.17125
129875,3.367,81.171875
129876,3.405,81.1725
129877,3.431,81.173125
129878,3.441,81.17375
129879,3.485,81.174375
129880,3.529,81.175
129881,3.563,81.175625
129882,3.604,81.17625
129883,3.642,81.176875
129884,3.655,81.1775
129885,3.56,81.178125
129886,3.47,81.17875
129887,3.408,81.179375
129888,3.391,81.18
129889,3.305,81.180625
129890,3.245,81.18125
129891,3.202,81.181875
129892,3.127,81.1825
129893,3.113,81.183125
129894,3.097,81.18375
129895,3.036,81.184375
129896,3.031,81.185
129897,2.973,81.185625
129898,2.875,81.18625
129899,2.888,81.186875
129900,2.864,81.1875
129901,2.824,81.188125
129902,2.786,81.18875
129903,2.677,81.189375
129904,2.601,81.19
129905,2.579,81.190625
129906,2.616,81.19125
129907,2.561,81.191875
129908,2.487,81.1925
129909,2.494,81.193125
129910,2.524,81.19375
129911,2.498,81.194375
129912,2.4,81.195
129913,2.445,81.195625
129914,2.468,81.19625
129915,2.474,81.196875
129916,2.467,81.1975
129917,2.502,81.198125
129918,2.542,81.19875
129919,2.576,81.199375
129920,2.566,81.2
129921,2.59,81.200625
129922,2.636,81.20125
129923,2.677,81.201875
129924,2.746,81.2025
129925,2.804,81.203125
129926,2.824,81.20375
129927,2.864,81.204375
129928,2.909,81.205
129929,2.972,81.205625
129930,3.131,81.20625
129931,3.212,81.206875
129932,3.262,81.2075
129933,3.309,81.208125
129934,3.37,81.20875
129935,3.441,81.209375
129936,3.52,81.21
129937,3.571,81.210625
129938,3.643,81.21125
129939,3.732,81.211875
129940,3.841,81.2125
129941,3.983,81.213125
129942,4.095,81.21375
129943,4.175,81.214375
129944,4.328,81.215
129945,4.461,81.215625
129946,4.573,81.21625
129947,4.651,81.216875
129948,4.797,81.2175
129949,4.941,81.218125
129950,5.063,81.21875
129951,5.155,81.219375
129952,5.276,81.22
129953,5.404,81.220625
129954,5.489,81.22125
129955,5.601,81.221875
129956,5.727,81.2225
129957,5.863,81.223125
129958,5.999,81.22375
129959,6.079,81.224375
129960,6.147,81.225
129961,6.371,81.225625
129962,6.452,81.22625
129963,6.504,81.226875
129964,6.589,81.2275
129965,6.696,81.228125
129966,6.841,81.22875
129967,7.003,81.229375
129968,7.057,81.23
129969,7.124,81.230625
129970,7.194,81.23125
129971,7.262,81.231875
129972,7.355,81.2325
129973,7.458,81.233125
129974,7.558,81.23375
129975,7.524,81.234375
129976,7.555,81.235
129977,7.642,81.235625
129978,7.798,81.23625
129979,7.863,81.236875
129980,7.938,81.2375
129981,8.037,81.238125
129982,8.088,81.23875
129983,8.118,81.239375
129984,8.17,81.24
129985,8.34,81.240625
129986,8.398,81.24125
129987,8.436,81.241875
129988,8.481,81.2425
129989,8.545,81.243125
129990,8.606,81.24375
129991,8.665,81.244375
129992,8.73,81.245
129993,8.821,81.245625
129994,8.897,81.24625
129995,8.934,81.246875
129996,8.971,81.2475
129997,8.969,81.248125
129998,8.938,81.24875
129999,8.928,81.249375
130000,8.936,81.25
130001,8.964,81.250625
130002,9.022,81.25125
130003,8.976,81.251875
130004,8.985,81.2525
130005,9.041,81.253125
130006,9.004,81.25375
130007,8.921,81.254375
130008,8.848,81.255
130009,8.845,81.255625
130010,8.814,81.25625
130011,8.786,81.256875
130012,8.762,81.2575
130013,8.684,81.258125
130014,8.603,81.25875
130015,8.529,81.259375
130016,8.478,81.26
130017,8.445,81.260625
130018,8.426,81.26125
130019,8.42,81.261875
130020,8.328,81.2625
130021,8.244,81.263125
130022,8.18,81.26375
130023,8.167,81.264375
130024,8.12,81.265
130025,8.06,81.265625
130026,7.992,81.26625
130027,7.965,81.266875
130028,7.912,81.2675
130029,7.845,81.268125
130030,7.801,81.26875
130031,7.757,81.269375
130032,7.722,81.27
130033,7.705,81.270625
130034,7.682,81.27125
130035,7.621,81.271875
130036,7.544,81.2725
130037,7.557,81.273125
130038,7.561,81.27375
130039,7.552,81.274375
130040,7.525,81.275
130041,7.482,81.275625
130042,7.497,81.27625
130043,7.563,81.276875
130044,7.587,81.2775
130045,7.63,81.278125
130046,7.672,81.27875
130047,7.692,81.279375
130048,7.728,81.28
130049,7.792,81.280625
130050,7.886,81.28125
130051,7.961,81.281875
130052,8.02,81.2825
130053,8.081,81.283125
130054,8.169,81.28375
130055,8.232,81.284375
130056,8.297,81.285
130057,8.372,81.285625
130058,8.443,81.28625
130059,8.517,81.286875
130060,8.583,81.2875
130061,8.617,81.288125
130062,8.673,81.28875
130063,8.713,81.289375
