valeurs,label,valeurs_val,label_val
94.6201149734528,R1,29.67675623808236,R1
102.53998000950789,R1,18.862476412210807,R1
50.82764673784699,R1,19.41804403567745,R1
89.84708750255238,R1,23.233074598952545,R1
33.98075801016546,R1,22.10257619806561,R1
35.023879527143215,R1,20.89391850772895,R1
52.48269016696202,R1,27.164494772179232,R1
63.16711184266977,R1,22.585698937586965,R1
80.72671693397879,R1,22.83870050774487,R1
86.80085566731718,R1,25.924219057309543,R1
39.93407008020948,R1,28.268988388745974,R1
47.290893797556464,R1,19.764258030614275,R1
58.40590149157197,R1,28.35039943397932,R1
96.18460361911028,R1,28.120218245840903,R1
52.3976398626504,R1,27.12494169583581,R1
39.86697397699063,R1,33.98190319648046,R2
86.90305905497839,R1,25.981875804073145,R2
183.85158756900228,R1,36.226764542832726,R2
61.12736557558839,R1,42.11582860050338,R2
76.2332397613748,R1,49.51980412041001,R2
63.20014264812889,R1,27.58582578413357,R2
82.33309060621612,R1,32.13823616373096,R2
114.69162158012992,R1,43.020630585745,R2
95.55219819353007,R1,39.24737669622259,R2
57.11010336519846,R1,44.11077471018483,R2
79.15467461545603,R1,29.34315246516474,R2
50.609566665243015,R1,27.91338454871946,R2
74.8206236642016,R1,30.33126084753353,R2
66.63578529646108,R1,33.0111283289513,R2
92.41294834759294,R1,26.83248725482038,R2
48.36059209521433,R1,35.879844646149856,R3
80.3796705253708,R1,28.64314299569723,R3
84.59167741386128,R1,24.788674047214325,R3
55.36713835804439,R1,29.223364527570485,R3
36.602341034185066,R1,23.582551766061357,R3
93.0579446640607,R1,25.043603434541808,R3
32.09813955599063,R1,34.68299251737031,R3
36.86559858190567,R1,36.66536652412579,R3
32.72110887323916,R1,24.03627178856585,R3
27.62498209402153,R1,29.308923936860445,R3
34.03513416822213,R1,68.22945586409375,R4
30.670804874279007,R1,100.26314247553591,R4
24.79722535407912,R1,29.98474380625775,R4
27.38704918397567,R1,30.10212321404428,R4
24.96204343045087,R1,43.45497436896649,R4
33.822112350059825,R1,22.63244680114333,R4
25.235915247822383,R1,22.79228747965214,R4
26.728822148536167,R1,23.70048433341143,R4
29.4639587071099,R1,23.84397242296692,R4
30.308688115366,R1,21.82339761349993,R4
24.87947564846643,R1,22.53849395519155,R4
24.40375532457559,R1,26.403417855109748,R4
22.117312199869158,R1,27.255540596944485,R4
29.999387338413268,R1,26.23449807937383,R4
100.8103997887634,R1,23.891851423574256,R4
94.52520577082863,R1,27.105971284144875,R4
43.31458052886409,R1,26.675850828181847,R4
31.522828823331363,R1,25.2804613486429,R4
67.32124692102127,R1,23.047490623212443,R4
47.03751995723026,R1,34.33554808849678,R4
59.59283159786828,R1,,
65.78850258700078,R1,,
49.25318374535588,R1,,
61.707896264662935,R1,,
52.840570927491605,R1,,
