,numero,intensitemax
0,coupe_0,-27.2389910626271
1,coupe_1,-37.40585136941629
2,coupe_2,-37.95961965602691
3,coupe_3,-33.48777894078966
4,coupe_4,-32.787975635695105
5,coupe_5,-31.927060753494647
6,coupe_6,-30.963190919607257
7,coupe_7,-35.033037684642295
8,coupe_8,-32.130550143989886
9,coupe_9,-33.115029724259905
10,coupe_10,-32.6697191789105
11,coupe_11,-27.84495419485718
12,coupe_12,-26.45784894493152
13,coupe_13,-32.889419406369214
14,coupe_14,-42.96786676615754
15,coupe_15,-33.811186353568864
16,coupe_16,-34.024533004940395
17,coupe_17,-33.11073011488454
18,coupe_18,-37.270904969977835
