,t,Vdby
0,24.066875,135.68235632925845
1,24.0675,135.7492094903683
2,24.068125,135.73502844291122
3,24.06875,135.66091144229387
4,24.069375,135.73786650522632
5,24.07,135.67378472694634
6,24.070625,135.5702602347785
7,24.07125,135.51948662258738
8,24.071875,135.4742665055404
9,24.0725,135.46987784541943
10,24.073125,135.5005520019769
11,24.07375,135.39640515527185
12,24.074375,135.35943442763238
13,24.075,135.34460196221437
14,24.075625,135.28352264780662
15,24.07625,135.2174927610438
16,24.076875,135.1752108781996
17,24.0775,135.16612363450614
18,24.078125,135.1555098202385
19,24.07875,135.0747244435002
20,24.079375,134.9746111219699
21,24.08,134.9746111219699
22,24.080625,134.89524474131156
23,24.08125,134.7993539351902
24,24.081875,134.71197799396361
25,24.0825,134.58167514087225
26,24.083125,134.48715608452852
27,24.08375,134.44280250914832
28,24.084375,134.50352602838274
29,24.085,134.41145440728522
30,24.085625,134.2714907554414
31,24.08625,134.13435564673517
32,24.086875,134.2192623799055
33,24.0875,134.13094205280714
34,24.088125,133.89736655964913
35,24.08875,133.78972896728496
36,24.089375,133.6879295683804
37,24.09,133.63025173277924
38,24.090625,133.660940764777
39,24.09125,133.5576116302318
40,24.091875,133.4012043494627
41,24.0925,133.22489217918667
42,24.093125,133.24949007500618
43,24.09375,133.1964231611141
44,24.094375,133.11045192506836
45,24.095,133.03912139066148
46,24.095625,132.9378724833549
47,24.09625,132.86510450049542
48,24.096875,132.829482210082
49,24.0975,132.7617944396901
50,24.098125,132.6754269216511
51,24.09875,132.58003238573986
52,24.099375,132.48976725026898
53,24.1,132.4732541471241
54,24.100625,132.3756004901243
55,24.10125,132.13837051896581
56,24.101875,131.9911118197196
57,24.1025,131.94292975667392
58,24.103125,131.94732100532056
59,24.10375,131.91873812538347
60,24.104375,131.78782046273867
61,24.105,131.66170732695375
62,24.105625,131.59109920801998
63,24.10625,131.33581824763183
64,24.106875,131.26962170788823
65,24.1075,131.33581824763183
66,24.108125,131.26962170788823
67,24.10875,131.13810538110894
68,24.109375,130.9776112527503
69,24.11,130.80909227342823
70,24.110625,130.67035724033934
71,24.11125,130.6372389819162
72,24.111875,130.6627257655728
73,24.1125,130.41490943038966
74,24.113125,130.34919653080465
75,24.11375,130.29095505320572
76,24.114375,130.07036625448148
77,24.115,129.98824251344553
78,24.115625,129.8440290278508
79,24.11625,129.64317390822552
80,24.116875,129.78791843454258
81,24.1175,129.68029925335125
82,24.118125,129.44342293384727
