,numero,centroid
0,coupe_0,22.68120687410603
1,coupe_1,20.969319490992305
2,coupe_2,22.138205072180053
3,coupe_3,20.52374224375592
4,coupe_4,17.717263227197115
5,coupe_5,23.120279663656174
6,coupe_6,26.876638955442232
7,coupe_7,21.04157425528015
8,coupe_8,27.386535544072558
9,coupe_9,26.054694958215112
10,coupe_10,21.329319907576604
11,coupe_11,22.691760043381752
12,coupe_12,22.250562443266283
13,coupe_13,21.38635945243097
14,coupe_14,29.06259346974489
15,coupe_15,26.96087667350151
