,numero,intensitemax
0,coupe_0,-30.46957348318754
1,coupe_1,-30.021039439464566
2,coupe_2,-50.642066800478005
3,coupe_3,-34.326291710062556
4,coupe_4,-37.84104856519593
5,coupe_5,-38.80807337825944
6,coupe_6,-41.96857987042744
7,coupe_7,-33.59955084801622
8,coupe_8,-31.168976021526223
9,coupe_9,-29.990678931835998
10,coupe_10,-30.803504867017534
11,coupe_11,-28.829855728902963
12,coupe_12,-31.61001086476646
13,coupe_13,-41.11578608403002
14,coupe_14,-34.59483427645634
15,coupe_15,-44.80063212971199
16,coupe_16,-31.882899408162704
17,coupe_17,-30.883847870607934
18,coupe_18,-42.96950604197832
19,coupe_19,-35.2421124732511
20,coupe_20,-33.936318443150725
