,numero,centroid
0,coupe_0,59.37897480885943
1,coupe_1,52.024659908753456
2,coupe_2,19.83339415849437
3,coupe_3,80.24765582048518
4,coupe_4,45.57914638423519
5,coupe_5,99.7199778361904
6,coupe_6,85.81123539595886
7,coupe_7,42.656343612974965
8,coupe_8,25.46770010035595
9,coupe_9,47.56583930009216
10,coupe_10,62.82731977258992
11,coupe_11,25.62706703682248
12,coupe_12,54.720261860934265
13,coupe_13,20.970975667430324
14,coupe_14,56.998605484379
15,coupe_15,19.63137525627403
16,coupe_16,31.239612225454703
17,coupe_17,65.93385580069179
18,coupe_18,31.639240851041855
19,coupe_19,72.9663932802077
20,coupe_20,32.44267157925482
