,numero,intensitemax
0,coupe_0,-33.60340453403172
1,coupe_1,-36.5039414003058
2,coupe_2,-42.8847751880826
3,coupe_3,-37.49459571586605
4,coupe_4,-37.00288414811078
5,coupe_5,-50.443637507451356
6,coupe_6,-33.56373686988181
7,coupe_7,-36.50454820388071
8,coupe_8,-38.16918394548151
9,coupe_9,-36.168133233870016
10,coupe_10,-36.61076578145982
11,coupe_11,-30.707107571822046
12,coupe_12,-36.01079827619208
13,coupe_13,-44.61545310736864
14,coupe_14,-39.02270830467795
15,coupe_15,-34.54714877803711
