,numero,intensitemax
0,coupe_0,-37.23932254241911
1,coupe_1,-35.837724421598004
2,coupe_2,-44.998755858425085
3,coupe_3,-37.410377643742876
4,coupe_4,-40.70210089138067
5,coupe_5,-36.974181266910556
6,coupe_6,-31.662783523807324
7,coupe_7,-41.26739361410927
8,coupe_8,-45.596167583322504
9,coupe_9,-36.8084046943529
10,coupe_10,-43.880248402893116
11,coupe_11,-44.189943685137635
12,coupe_12,-36.44839642397531
13,coupe_13,-54.872305500185306
14,coupe_14,-35.56729064526986
15,coupe_15,-35.31430872669882
