,az,t
107264,1.873,67.04
107265,1.911,67.040625
107266,1.939,67.04125
107267,1.983,67.041875
107268,1.935,67.0425
107269,1.917,67.043125
107270,1.981,67.04375
107271,1.992,67.044375
107272,1.97,67.045
107273,1.94,67.045625
107274,2.005,67.04625
107275,2.074,67.046875
107276,2.156,67.0475
107277,2.258,67.048125
107278,2.297,67.04875
107279,2.355,67.049375
107280,2.429,67.05
107281,2.439,67.050625
107282,2.485,67.05125
107283,2.545,67.051875
107284,2.603,67.0525
107285,2.613,67.053125
107286,2.643,67.05375
107287,2.702,67.054375
107288,2.722,67.055
107289,2.747,67.055625
107290,2.767,67.05625
107291,2.763,67.056875
107292,2.757,67.0575
107293,2.786,67.058125
107294,2.864,67.05875
107295,2.877,67.059375
107296,2.944,67.06
107297,3.03,67.060625
107298,3.051,67.06125
107299,3.162,67.061875
107300,3.257,67.0625
107301,3.284,67.063125
107302,3.38,67.06375
107303,3.456,67.064375
107304,3.51,67.065
107305,3.54,67.065625
107306,3.648,67.06625
107307,3.76,67.066875
107308,3.821,67.0675
107309,3.925,67.068125
107310,4.002,67.06875
107311,4.052,67.069375
107312,4.161,67.07
107313,4.216,67.070625
107314,4.239,67.07125
107315,4.242,67.071875
107316,4.304,67.0725
107317,4.332,67.073125
107318,4.314,67.07375
107319,4.402,67.074375
107320,4.419,67.075
107321,4.407,67.075625
107322,4.434,67.07625
107323,4.458,67.076875
107324,4.468,67.0775
107325,4.458,67.078125
107326,4.546,67.07875
107327,4.581,67.079375
107328,4.574,67.08
107329,4.554,67.080625
107330,4.559,67.08125
107331,4.556,67.081875
107332,4.522,67.0825
107333,4.536,67.083125
107334,4.544,67.08375
107335,4.539,67.084375
107336,4.498,67.085
107337,4.487,67.085625
107338,4.485,67.08625
107339,4.478,67.086875
107340,4.508,67.0875
107341,4.498,67.088125
107342,4.45,67.08875
107343,4.467,67.089375
107344,4.424,67.09
107345,4.366,67.090625
107346,4.342,67.09125
107347,4.35,67.091875
107348,4.341,67.0925
107349,4.303,67.093125
107350,4.235,67.09375
107351,4.228,67.094375
107352,4.237,67.095
107353,4.166,67.095625
107354,4.13,67.09625
107355,4.054,67.096875
107356,3.905,67.0975
107357,3.893,67.098125
107358,3.824,67.09875
107359,3.724,67.099375
107360,3.687,67.1
107361,3.583,67.100625
107362,3.483,67.10125
107363,3.432,67.101875
107364,3.403,67.1025
107365,3.319,67.103125
107366,3.188,67.10375
107367,3.093,67.104375
107368,2.976,67.105
107369,2.861,67.105625
107370,2.773,67.10625
107371,2.642,67.106875
107372,2.508,67.1075
107373,2.379,67.108125
107374,2.29,67.10875
107375,2.195,67.109375
107376,2.1,67.11
107377,2.015,67.110625
107378,1.922,67.11125
107379,1.806,67.111875
107380,1.665,67.1125
107381,1.573,67.113125
107382,1.452,67.11375
107383,1.326,67.114375
107384,1.251,67.115
107385,1.174,67.115625
107386,1.078,67.11625
107387,0.952,67.116875
107388,0.846,67.1175
107389,0.733,67.118125
107390,0.618,67.11875
107391,0.527,67.119375
107392,0.45,67.12
107393,0.362,67.120625
107394,0.24,67.12125
107395,0.161,67.121875
107396,0.06,67.1225
107397,-0.065,67.123125
107398,-0.184,67.12375
107399,-0.319,67.124375
107400,-0.44,67.125
107401,-0.504,67.125625
107402,-0.548,67.12625
107403,-0.6,67.126875
107404,-0.666,67.1275
107405,-0.772,67.128125
107406,-0.855,67.12875
107407,-0.926,67.129375
107408,-0.998,67.13
107409,-1.013,67.130625
107410,-1.008,67.13125
107411,-0.991,67.131875
107412,-1.025,67.1325
107413,-1.027,67.133125
107414,-1.027,67.13375
107415,-1.115,67.134375
107416,-1.127,67.135
107417,-1.145,67.135625
107418,-1.213,67.13625
107419,-1.174,67.136875
107420,-1.139,67.1375
107421,-1.116,67.138125
107422,-1.12,67.13875
107423,-1.096,67.139375
107424,-1.07,67.14
107425,-1.064,67.140625
107426,-0.937,67.14125
107427,-0.86,67.141875
107428,-0.84,67.1425
107429,-0.755,67.143125
107430,-0.67,67.14375
107431,-0.581,67.144375
107432,-0.479,67.145
107433,-0.43,67.145625
107434,-0.386,67.14625
107435,-0.339,67.146875
107436,-0.322,67.1475
107437,-0.276,67.148125
107438,-0.224,67.14875
107439,-0.217,67.149375
107440,-0.133,67.15
107441,-0.05,67.150625
107442,0.004,67.15125
107443,0.095,67.151875
107444,0.191,67.1525
107445,0.289,67.153125
107446,0.384,67.15375
107447,0.461,67.154375
107448,0.536,67.155
107449,0.618,67.155625
107450,0.712,67.15625
107451,0.778,67.156875
107452,0.826,67.1575
107453,0.928,67.158125
107454,0.97,67.15875
107455,0.993,67.159375
107456,1.03,67.16
107457,1.116,67.160625
107458,1.204,67.16125
107459,1.291,67.161875
107460,1.4,67.1625
107461,1.486,67.163125
107462,1.556,67.16375
107463,1.614,67.164375
107464,1.698,67.165
107465,1.798,67.165625
107466,1.913,67.16625
107467,1.997,67.166875
107468,2.097,67.1675
107469,2.21,67.168125
107470,2.339,67.16875
107471,2.46,67.169375
107472,2.57,67.17
107473,2.665,67.170625
107474,2.852,67.17125
107475,3.012,67.171875
107476,3.148,67.1725
107477,3.288,67.173125
107478,3.389,67.17375
107479,3.484,67.174375
107480,3.593,67.175
107481,3.695,67.175625
107482,3.78,67.17625
107483,3.847,67.176875
107484,3.908,67.1775
107485,3.912,67.178125
107486,3.921,67.17875
107487,4.003,67.179375
107488,3.947,67.18
107489,3.906,67.180625
107490,3.898,67.18125
107491,3.824,67.181875
107492,3.747,67.1825
107493,3.677,67.183125
107494,3.637,67.18375
107495,3.638,67.184375
107496,3.61,67.185
107497,3.529,67.185625
107498,3.529,67.18625
107499,3.551,67.186875
107500,3.592,67.1875
107501,3.646,67.188125
107502,3.74,67.18875
107503,3.871,67.189375
107504,4.044,67.19
107505,4.149,67.190625
107506,4.299,67.19125
107507,4.495,67.191875
107508,4.726,67.1925
107509,4.878,67.193125
107510,5.027,67.19375
107511,5.234,67.194375
107512,5.401,67.195
107513,5.617,67.195625
107514,5.875,67.19625
107515,6.024,67.196875
107516,6.18,67.1975
107517,6.342,67.198125
107518,6.508,67.19875
107519,6.678,67.199375
107520,6.823,67.2
107521,6.938,67.200625
107522,7.047,67.20125
107523,7.205,67.201875
107524,7.371,67.2025
107525,7.462,67.203125
107526,7.681,67.20375
107527,7.904,67.204375
107528,8.091,67.205
107529,8.281,67.205625
107530,8.456,67.20625
107531,8.619,67.206875
107532,8.786,67.2075
107533,9.028,67.208125
107534,9.255,67.20875
107535,9.415,67.209375
107536,9.603,67.21
107537,9.795,67.210625
107538,9.993,67.21125
107539,10.221,67.211875
107540,10.373,67.2125
107541,10.488,67.213125
107542,10.586,67.21375
107543,10.691,67.214375
107544,10.772,67.215
107545,10.814,67.215625
107546,10.708,67.21625
107547,10.585,67.216875
107548,10.478,67.2175
107549,10.444,67.218125
107550,10.28,67.21875
107551,10.117,67.219375
107552,9.981,67.22
107553,9.709,67.220625
107554,9.496,67.22125
107555,9.319,67.221875
107556,9.139,67.2225
107557,8.959,67.223125
107558,8.795,67.22375
107559,8.656,67.224375
107560,8.41,67.225
107561,8.181,67.225625
107562,7.966,67.22625
107563,7.742,67.226875
107564,7.533,67.2275
107565,7.359,67.228125
107566,7.243,67.22875
107567,7.049,67.229375
107568,6.854,67.23
107569,6.665,67.230625
107570,6.492,67.23125
107571,6.293,67.231875
107572,6.078,67.2325
107573,5.854,67.233125
107574,5.603,67.23375
107575,5.347,67.234375
107576,5.096,67.235
107577,4.96,67.235625
107578,4.818,67.23625
107579,4.644,67.236875
107580,4.386,67.2375
107581,4.12,67.238125
107582,3.932,67.23875
107583,3.853,67.239375
107584,3.71,67.24
107585,3.664,67.240625
107586,3.657,67.24125
107587,3.552,67.241875
107588,3.537,67.2425
107589,3.574,67.243125
107590,3.655,67.24375
107591,3.796,67.244375
107592,3.995,67.245
107593,4.224,67.245625
107594,4.36,67.24625
107595,4.568,67.246875
107596,4.813,67.2475
107597,5.082,67.248125
107598,5.322,67.24875
107599,5.55,67.249375
107600,5.769,67.25
107601,6.003,67.250625
107602,6.261,67.25125
107603,6.502,67.251875
107604,6.672,67.2525
107605,6.915,67.253125
107606,7.14,67.25375
107607,7.328,67.254375
107608,7.457,67.255
107609,7.638,67.255625
107610,7.829,67.25625
107611,7.955,67.256875
107612,8.055,67.2575
107613,8.148,67.258125
107614,8.236,67.25875
107615,8.233,67.259375
107616,8.303,67.26
107617,8.395,67.260625
107618,8.344,67.26125
107619,8.334,67.261875
107620,8.322,67.2625
107621,8.281,67.263125
107622,8.192,67.26375
107623,8.108,67.264375
107624,8.041,67.265
107625,8.051,67.265625
107626,8.057,67.26625
107627,8.061,67.266875
107628,8.068,67.2675
107629,8.087,67.268125
107630,8.094,67.26875
107631,8.075,67.269375
107632,7.915,67.27
107633,7.954,67.270625
107634,8.062,67.27125
107635,8.093,67.271875
107636,8.196,67.2725
107637,8.32,67.273125
107638,8.452,67.27375
107639,8.473,67.274375
107640,8.512,67.275
107641,8.585,67.275625
107642,8.737,67.27625
107643,8.855,67.276875
107644,8.919,67.2775
107645,8.916,67.278125
107646,9.003,67.27875
107647,9.035,67.279375
107648,9.033,67.28
107649,9.074,67.280625
107650,9.107,67.28125
107651,9.117,67.281875
107652,9.09,67.2825
107653,9.098,67.283125
107654,9.133,67.28375
107655,9.177,67.284375
107656,9.116,67.285
107657,9.084,67.285625
107658,9.037,67.28625
107659,8.928,67.286875
107660,8.778,67.2875
107661,8.638,67.288125
107662,8.513,67.28875
107663,8.357,67.289375
107664,8.205,67.29
107665,8.052,67.290625
107666,7.889,67.29125
107667,7.783,67.291875
107668,7.66,67.2925
107669,7.502,67.293125
107670,7.424,67.29375
107671,7.375,67.294375
107672,7.348,67.295
107673,7.334,67.295625
107674,7.326,67.29625
107675,7.342,67.296875
107676,7.396,67.2975
107677,7.451,67.298125
107678,7.522,67.29875
107679,7.612,67.299375
107680,7.731,67.3
107681,7.837,67.300625
107682,7.948,67.30125
107683,8.077,67.301875
107684,8.266,67.3025
107685,8.381,67.303125
107686,8.435,67.30375
107687,8.609,67.304375
107688,8.763,67.305
107689,8.898,67.305625
107690,9.003,67.30625
107691,9.091,67.306875
107692,9.205,67.3075
107693,9.354,67.308125
107694,9.497,67.30875
107695,9.576,67.309375
107696,9.632,67.31
107697,9.728,67.310625
107698,9.811,67.31125
107699,9.887,67.311875
107700,9.955,67.3125
107701,10.02,67.313125
107702,10.03,67.31375
107703,10.005,67.314375
107704,9.988,67.315
107705,9.976,67.315625
107706,9.966,67.31625
107707,9.956,67.316875
107708,9.919,67.3175
107709,9.869,67.318125
107710,9.799,67.31875
107711,9.67,67.319375
107712,9.56,67.32
107713,9.47,67.320625
107714,9.406,67.32125
107715,9.323,67.321875
107716,9.209,67.3225
107717,9.081,67.323125
107718,9.108,67.32375
107719,9.122,67.324375
107720,9.135,67.325
107721,9.165,67.325625
107722,9.117,67.32625
107723,9.079,67.326875
107724,9.073,67.3275
107725,9.164,67.328125
107726,9.194,67.32875
107727,9.21,67.329375
107728,9.305,67.33
107729,9.381,67.330625
107730,9.46,67.33125
107731,9.552,67.331875
107732,9.586,67.3325
107733,9.658,67.333125
107734,9.733,67.33375
107735,9.696,67.334375
107736,9.733,67.335
107737,9.74,67.335625
107738,9.645,67.33625
107739,9.601,67.336875
107740,9.567,67.3375
107741,9.528,67.338125
107742,9.399,67.33875
107743,9.299,67.339375
107744,9.227,67.34
107745,9.193,67.340625
107746,9.192,67.34125
107747,9.155,67.341875
107748,9.079,67.3425
107749,9.079,67.343125
107750,9.104,67.34375
107751,9.125,67.344375
107752,9.097,67.345
107753,9.042,67.345625
107754,8.973,67.34625
107755,8.895,67.346875
107756,8.824,67.3475
107757,8.742,67.348125
107758,8.638,67.34875
107759,8.472,67.349375
107760,8.329,67.35
107761,8.183,67.350625
107762,8.02,67.35125
107763,7.85,67.351875
