,numero,intensitemax
0,coupe_0,-31.154902794720655
1,coupe_1,-35.73768201167872
2,coupe_2,-29.224481169819157
3,coupe_3,-33.61213359259753
4,coupe_4,-40.165711653954794
5,coupe_5,-32.87761302674441
6,coupe_6,-33.82985700100771
7,coupe_7,-33.09815207420611
8,coupe_8,-31.902930581131656
9,coupe_9,-34.22140697403793
10,coupe_10,-36.210279295002735
11,coupe_11,-32.48017467873616
12,coupe_12,-31.63391418918895
13,coupe_13,-35.17087797861932
14,coupe_14,-30.928049945836605
15,coupe_15,-34.315464942225226
