,numero,intensitemax
0,coupe_0,-28.69672136619528
1,coupe_1,-28.54223624434143
2,coupe_2,-34.97791961676717
3,coupe_3,-28.804203838951462
4,coupe_4,-33.81007290058533
5,coupe_5,-35.135179821070864
6,coupe_6,-33.42722875581637
7,coupe_7,-35.02094856311531
8,coupe_8,-35.55796251318452
9,coupe_9,-29.82112414442707
10,coupe_10,-41.5146708034208
11,coupe_11,-33.39115131415997
12,coupe_12,-37.66985060236032
13,coupe_13,-36.998235105244305
14,coupe_14,-29.486155456558357
15,coupe_15,-32.96867567574773
