numero,intensitemax
coupe_0,-36.59085939857018
coupe_1,-34.198823870443825
coupe_2,-40.97066964958853
coupe_3,-33.17618110525467
coupe_4,-37.3107487636042
coupe_5,-33.1377611810851
coupe_6,-41.895880876013635
coupe_7,-39.26512564011107
coupe_8,-28.16964300492311
coupe_9,-30.621113477482712
coupe_10,-31.280668969329994
coupe_11,-37.07422000267843
coupe_12,-29.362397186591302
coupe_13,-33.84127067818672
coupe_14,-33.46322871332602
