,numero,centroid
0,coupe_0,44.30408559822155
1,coupe_1,33.267708961697025
2,coupe_2,24.50873416040518
3,coupe_3,24.0091471543976
4,coupe_4,28.757985172202385
5,coupe_5,27.08928051326728
6,coupe_6,22.580261341470276
7,coupe_7,27.320870412669173
8,coupe_8,25.097913538744624
9,coupe_9,22.74567729782623
10,coupe_10,23.177899602426763
11,coupe_11,30.2509676645535
12,coupe_12,32.494779624354834
13,coupe_13,26.76928993201954
14,coupe_14,26.346810785224335
15,coupe_15,28.009889833080564
16,coupe_16,25.335098229860446
17,coupe_17,33.30678187132346
