,numero,intensitemax
0,coupe_0,-34.396415416034465
1,coupe_1,-27.994235344474696
2,coupe_2,-35.987675254941884
3,coupe_3,-46.0572902083388
4,coupe_4,-44.43545816658081
5,coupe_5,-28.214838033457138
6,coupe_6,-31.204008435177897
7,coupe_7,-34.18069716108066
8,coupe_8,-30.641033951390433
9,coupe_9,-30.865467812899418
10,coupe_10,-31.637764781412994
11,coupe_11,-41.00755355342724
12,coupe_12,-35.04538525589541
13,coupe_13,-35.033251276865435
14,coupe_14,-34.974482895601405
15,coupe_15,-34.787710158797005
