,numero,centroid
0,coupe_0,136.17864816840995
1,coupe_1,147.00154482959724
2,coupe_2,197.74229371104616
3,coupe_3,162.32252387520884
4,coupe_4,163.9691665804334
5,coupe_5,151.92886953302363
6,coupe_6,137.84499128521577
7,coupe_7,133.80990500983927
8,coupe_8,116.2469013652911
9,coupe_9,134.66735095134538
10,coupe_10,165.92121144954527
11,coupe_11,187.59381870700747
12,coupe_12,161.919521410045
13,coupe_13,187.9044460426566
14,coupe_14,163.89965528149662
15,coupe_15,162.14934054751726
