,numero,intensitemax
0,coupe_0,-34.95413646164525
1,coupe_1,-47.50317616902243
2,coupe_2,-42.3765458348386
3,coupe_3,-48.53514585642649
4,coupe_4,-49.490656619908975
5,coupe_5,-39.222470746213176
6,coupe_6,-37.72682738620054
7,coupe_7,-33.92715852360119
8,coupe_8,-36.37619116817363
9,coupe_9,-36.655562088919346
10,coupe_10,-42.39357451641599
11,coupe_11,-43.13039599239262
12,coupe_12,-44.84508827076591
13,coupe_13,-37.64689426426072
14,coupe_14,-37.56933765981907
15,coupe_15,-37.60435858811992
