,numero,intensitemax
0,coupe_0,-32.918151103145874
1,coupe_1,-32.19991912889479
2,coupe_2,-40.13620396951204
3,coupe_3,-33.68558420567523
4,coupe_4,-38.61479235464005
5,coupe_5,-40.77227061465734
6,coupe_6,-40.78227521383198
7,coupe_7,-36.2821835232917
8,coupe_8,-42.40049350698612
9,coupe_9,-35.50013589701119
10,coupe_10,-46.90141066666308
11,coupe_11,-44.28679067010269
12,coupe_12,-41.27022350404065
13,coupe_13,-38.58287080561026
14,coupe_14,-34.22901880631181
15,coupe_15,-42.41488455236709
