,numero,centroid
0,coupe_0,118.36078407919156
1,coupe_1,35.3731247224415
2,coupe_2,38.629777997481604
3,coupe_3,39.22557069519828
4,coupe_4,37.38653214707385
5,coupe_5,68.62645522432327
6,coupe_6,53.041136563392605
7,coupe_7,61.89737888075732
8,coupe_8,50.620497540993014
9,coupe_9,26.9783259881956
10,coupe_10,48.31852691988858
11,coupe_11,38.19112620741755
12,coupe_12,70.95759360132179
13,coupe_13,52.67716929576826
14,coupe_14,63.56718838582104
15,coupe_15,54.61150017547799
16,coupe_16,45.96885355954197
17,coupe_17,48.71359226657589
