,az,t
123235,1.139,77.021875
123236,1.159,77.0225
123237,1.159,77.023125
123238,1.139,77.02375
123239,1.145,77.024375
123240,1.186,77.025
123241,1.114,77.025625
123242,1.087,77.02625
123243,1.076,77.026875
123244,1.026,77.0275
123245,0.983,77.028125
123246,0.959,77.02875
123247,0.962,77.029375
123248,0.989,77.03
123249,0.949,77.030625
123250,0.873,77.03125
123251,0.883,77.031875
123252,0.863,77.0325
123253,0.847,77.033125
123254,0.861,77.03375
123255,0.871,77.034375
123256,0.862,77.035
123257,0.834,77.035625
123258,0.797,77.03625
123259,0.802,77.036875
123260,0.817,77.0375
123261,0.81,77.038125
123262,0.78,77.03875
123263,0.75,77.039375
123264,0.728,77.04
123265,0.739,77.040625
123266,0.755,77.04125
123267,0.767,77.041875
123268,0.75,77.0425
123269,0.733,77.043125
123270,0.7,77.04375
123271,0.642,77.044375
123272,0.635,77.045
123273,0.612,77.045625
123274,0.574,77.04625
123275,0.516,77.046875
123276,0.498,77.0475
123277,0.492,77.048125
123278,0.489,77.04875
123279,0.466,77.049375
123280,0.437,77.05
123281,0.412,77.050625
123282,0.457,77.05125
123283,0.477,77.051875
123284,0.451,77.0525
123285,0.342,77.053125
123286,0.318,77.05375
123287,0.319,77.054375
123288,0.333,77.055
123289,0.299,77.055625
123290,0.29,77.05625
123291,0.286,77.056875
123292,0.262,77.0575
123293,0.29,77.058125
123294,0.339,77.05875
123295,0.403,77.059375
123296,0.419,77.06
123297,0.436,77.060625
123298,0.456,77.06125
123299,0.487,77.061875
123300,0.472,77.0625
123301,0.443,77.063125
123302,0.413,77.06375
123303,0.373,77.064375
123304,0.345,77.065
123305,0.332,77.065625
123306,0.346,77.06625
123307,0.332,77.066875
123308,0.297,77.0675
123309,0.24,77.068125
123310,0.228,77.06875
123311,0.217,77.069375
123312,0.196,77.07
123313,0.142,77.070625
123314,0.094,77.07125
123315,0.057,77.071875
123316,0.036,77.0725
123317,-0.022,77.073125
123318,-0.102,77.07375
123319,-0.197,77.074375
123320,-0.228,77.075
123321,-0.265,77.075625
123322,-0.301,77.07625
123323,-0.322,77.076875
123324,-0.304,77.0775
123325,-0.299,77.078125
123326,-0.33,77.07875
123327,-0.304,77.079375
123328,-0.243,77.08
123329,-0.165,77.080625
123330,-0.121,77.08125
123331,-0.1,77.081875
123332,-0.056,77.0825
123333,0.046,77.083125
123334,0.103,77.08375
123335,0.124,77.084375
123336,0.124,77.085
123337,0.206,77.085625
123338,0.277,77.08625
123339,0.335,77.086875
123340,0.369,77.0875
123341,0.394,77.088125
123342,0.409,77.08875
123343,0.419,77.089375
123344,0.534,77.09
123345,0.575,77.090625
123346,0.573,77.09125
123347,0.566,77.091875
123348,0.593,77.0925
123349,0.619,77.093125
123350,0.632,77.09375
123351,0.629,77.094375
123352,0.648,77.095
123353,0.674,77.095625
123354,0.667,77.09625
123355,0.7,77.096875
123356,0.712,77.0975
123357,0.668,77.098125
123358,0.714,77.09875
123359,0.715,77.099375
123360,0.679,77.1
123361,0.672,77.100625
123362,0.624,77.10125
123363,0.568,77.101875
123364,0.53,77.1025
123365,0.573,77.103125
123366,0.63,77.10375
123367,0.687,77.104375
123368,0.653,77.105
123369,0.637,77.105625
123370,0.607,77.10625
123371,0.512,77.106875
123372,0.478,77.1075
123373,0.445,77.108125
123374,0.399,77.10875
123375,0.287,77.109375
123376,0.219,77.11
123377,0.18,77.110625
123378,0.146,77.11125
123379,0.106,77.111875
123380,0.102,77.1125
123381,0.157,77.113125
123382,0.241,77.11375
123383,0.262,77.114375
123384,0.244,77.115
123385,0.275,77.115625
123386,0.262,77.11625
123387,0.243,77.116875
123388,0.24,77.1175
123389,0.23,77.118125
123390,0.282,77.11875
123391,0.377,77.119375
123392,0.316,77.12
