,numero,intensitemax
0,coupe_0,-53.465170877285644
1,coupe_1,-30.160498014951354
2,coupe_2,-32.08931257134696
3,coupe_3,-32.104062263003726
4,coupe_4,-29.685746320298772
5,coupe_5,-30.70716255100599
6,coupe_6,-32.485190417628104
7,coupe_7,-31.38251202854091
8,coupe_8,-38.17425471044791
9,coupe_9,-30.864902580420086
10,coupe_10,-31.808846712935
11,coupe_11,-31.887243936142
12,coupe_12,-32.30053211876728
13,coupe_13,-37.77556565334236
14,coupe_14,-29.410621249365043
15,coupe_15,-36.81065867501732
16,coupe_16,-34.67970252684286
17,coupe_17,-35.951355057446634
