,t,Vdbz
0,24.066875,
1,24.0675,
2,24.068125,
3,24.06875,
4,24.069375,
5,24.07,
6,24.070625,
7,24.07125,
8,24.071875,
9,24.0725,
10,24.073125,
11,24.07375,
12,24.074375,
13,24.075,
14,24.075625,
15,24.07625,
16,24.076875,
17,24.0775,
18,24.078125,
19,24.07875,
20,24.079375,
21,24.08,
22,24.080625,
23,24.08125,
24,24.081875,
25,24.0825,
26,24.083125,
27,24.08375,
28,24.084375,
29,24.085,
30,24.085625,
31,24.08625,
32,24.086875,
33,24.0875,
34,24.088125,
35,24.08875,
36,24.089375,
37,24.09,
38,24.090625,
39,24.09125,
40,24.091875,
41,24.0925,
42,24.093125,
43,24.09375,
44,24.094375,
45,24.095,
46,24.095625,
47,24.09625,
48,24.096875,
49,24.0975,
50,24.098125,
51,24.09875,
52,24.099375,
53,24.1,
54,24.100625,
55,24.10125,
56,24.101875,
57,24.1025,
58,24.103125,
59,24.10375,
60,24.104375,
61,24.105,
62,24.105625,
63,24.10625,
64,24.106875,
65,24.1075,
66,24.108125,
67,24.10875,
68,24.109375,
69,24.11,
70,24.110625,
71,24.11125,
72,24.111875,
73,24.1125,
74,24.113125,
75,24.11375,
76,24.114375,
77,24.115,
78,24.115625,
79,24.11625,
80,24.116875,
81,24.1175,
82,24.118125,
83,24.11875,
84,24.119375,
85,24.12,
86,24.120625,
87,24.12125,
88,24.121875,
89,24.1225,
90,24.123125,
91,24.12375,
92,24.124375,
93,24.125,
94,24.125625,
95,24.12625,
96,24.126875,
97,24.1275,
98,24.128125,
99,24.12875,
100,24.129375,
101,24.13,
102,24.130625,
103,24.13125,
104,24.131875,
105,24.1325,
106,24.133125,
107,24.13375,
108,24.134375,
109,24.135,
110,24.135625,
111,24.13625,
112,24.136875,
113,24.1375,
114,24.138125,
115,24.13875,
116,24.139375,
117,24.14,
118,24.140625,
119,24.14125,
120,24.141875,
121,24.1425,100.5061173052954
122,24.143125,108.6593858174881
123,24.14375,113.2173095600774
124,24.144375,116.28495191463841
125,24.145,118.56791704513428
126,24.145625,120.45681221753055
127,24.14625,122.08291101108017
128,24.146875,123.47537646273301
129,24.1475,124.47510907314482
130,24.148125,125.32933790880483
131,24.14875,126.08981055546975
132,24.149375,126.78902882612881
133,24.15,127.45824005940213
134,24.150625,128.13080360867912
135,24.15125,128.81188523679663
136,24.151875,129.5857463295234
137,24.1525,130.30157350151845
138,24.153125,130.93578703262517
139,24.15375,131.41319340043069
140,24.154375,132.07154736302934
141,24.155,132.63698924319635
142,24.155625,133.01197796345315
143,24.15625,133.57400869996607
144,24.156875,134.06754737024698
145,24.1575,134.49861828384795
146,24.158125,134.9139845320501
147,24.15875,135.27903652066647
148,24.159375,135.65375136469933
149,24.16,136.10185756685348
150,24.160625,136.40140068624652
151,24.16125,136.73154549681297
152,24.161875,137.110383113356
153,24.1625,137.32456494759293
154,24.163125,137.58191759000147
155,24.16375,137.8485709389046
156,24.164375,138.05962799595005
157,24.165,138.22421786275106
158,24.165625,138.37318586843648
159,24.16625,138.51758178603
160,24.166875,138.62610562843346
161,24.1675,138.68794881561976
162,24.168125,138.7000630290731
163,24.16875,138.62508812832826
164,24.169375,138.5730369330739
165,24.17,138.51758178603
166,24.170625,138.42644487167644
167,24.17125,138.21675529985367
168,24.171875,138.00734257312942
169,24.1725,137.82294060897541
170,24.173125,137.58191759000147
171,24.17375,137.32692845499204
172,24.174375,137.03983495924314
173,24.175,136.66421760565217
174,24.175625,136.33542824666694
175,24.17625,136.01021753788734
176,24.176875,135.66949575164494
177,24.1775,135.37572093816027
178,24.178125,135.06553140368837
179,24.17875,134.73748723296845
180,24.179375,134.43621230425092
181,24.18,134.10872093170502
182,24.180625,133.7844007452767
183,24.18125,133.51006769455915
184,24.181875,133.17548641688714
185,24.1825,132.92611360569518
186,24.183125,132.79968496083177
187,24.18375,132.69961600102457
188,24.184375,132.56573462179028
189,24.185,132.40896769423418
190,24.185625,132.23871250080245
191,24.18625,132.06505323963293
192,24.186875,131.88785100750854
193,24.1875,131.70695822189182
194,24.188125,131.71372556904993
195,24.18875,131.67530736569998
196,24.189375,131.5956719323362
197,24.19,131.54753783834028
198,24.190625,131.41786072436784
199,24.19125,131.30751005428147
200,24.191875,131.3311066176611
201,24.1925,131.2291834248383
202,24.193125,131.17417141066332
203,24.19375,131.19573936401113
204,24.194375,131.1885559951898
205,24.195,131.25061537724523
206,24.195625,131.3640344813399
207,24.19625,131.5129922951044
208,24.196875,131.5750756885287
