,numero,intensitemax
0,coupe_0,-32.62488411508683
1,coupe_1,-32.64086941042982
2,coupe_2,-28.353280009487133
3,coupe_3,-35.65050891380502
4,coupe_4,-37.385643656213944
5,coupe_5,-29.870298949508495
6,coupe_6,-32.401277334281914
7,coupe_7,-36.23132021090796
8,coupe_8,-34.76636311179346
9,coupe_9,-35.120690075659276
10,coupe_10,-36.53304768340716
11,coupe_11,-32.08078220399306
12,coupe_12,-30.83859884984312
13,coupe_13,-27.225048973458115
14,coupe_14,-33.88369302232484
15,coupe_15,-36.26194325110473
