,numero,intensitemax
0,coupe_0,-33.2452448385119
1,coupe_1,-45.88072374412528
2,coupe_2,-38.54820276472317
3,coupe_3,-30.16970319948768
4,coupe_4,-27.20797173514656
5,coupe_5,-44.235175820628555
6,coupe_6,-43.62389100183212
7,coupe_7,-44.436699813995936
8,coupe_8,-38.50796334443839
9,coupe_9,-41.14793278935913
10,coupe_10,-46.45114023851779
11,coupe_11,-32.4580635015999
12,coupe_12,-31.14082300571729
13,coupe_13,-47.175026925785005
14,coupe_14,-41.02392382220114
15,coupe_15,-43.55171083632758
16,coupe_16,-35.23735351611484
17,coupe_17,-39.684397829873014
18,coupe_18,-48.08389439039878
