,numero,intensitemax
0,coupe_0,-29.13979480194968
1,coupe_1,-33.694438271212086
2,coupe_2,-28.58285739401534
3,coupe_3,-39.84483386251675
4,coupe_4,-40.15999088860286
5,coupe_5,-34.586323634464094
6,coupe_6,-29.523160057418284
7,coupe_7,-33.441483937102255
8,coupe_8,-32.88881567092354
9,coupe_9,-37.982621822383386
10,coupe_10,-32.166881377471164
11,coupe_11,-27.252893578042695
12,coupe_12,-34.49528388866333
13,coupe_13,-32.348042121405975
14,coupe_14,-32.910318802107874
15,coupe_15,-34.20146152076153
