,numero,centroid
0,coupe_0,29.53463835433223
1,coupe_1,22.662156238784032
2,coupe_2,21.15872868608082
3,coupe_3,21.26656479714289
4,coupe_4,21.90374161505656
5,coupe_5,19.319867009736612
6,coupe_6,21.161178386610935
7,coupe_7,27.266061835146953
8,coupe_8,22.804467021622667
9,coupe_9,20.457115222106864
10,coupe_10,22.068560532680582
11,coupe_11,19.826018321780477
12,coupe_12,21.648159884219876
13,coupe_13,22.622380319683185
14,coupe_14,26.314140626725397
15,coupe_15,18.945330206963714
