numero,intensitemax
coupe_0,-37.993948461900054
coupe_1,-39.60252104571137
coupe_2,-44.496588481975756
coupe_3,-43.7491977476187
coupe_4,-46.21609395118729
coupe_5,-44.06803404685026
coupe_6,-40.871578721509145
coupe_7,-34.53314326295365
coupe_8,-28.21117345136527
coupe_9,-37.92968871774036
coupe_10,-32.168190479930274
coupe_11,-35.500833642187686
coupe_12,-31.24572639750355
coupe_13,-36.90266619919357
coupe_14,-46.66498728191378
