,numero,intensitemax
0,coupe_0,-44.834764344321826
1,coupe_1,-43.15993005510441
2,coupe_2,-41.793192248635236
3,coupe_3,-50.30627378381004
4,coupe_4,-39.15736824477627
5,coupe_5,-42.69160869125087
6,coupe_6,-51.178729295188525
7,coupe_7,-45.49943610636613
8,coupe_8,-47.76806581951976
9,coupe_9,-43.73616398210922
10,coupe_10,-40.55512587792429
11,coupe_11,-42.91018608053082
12,coupe_12,-48.013115681139034
13,coupe_13,-39.78184249768818
14,coupe_14,-45.38254708321968
15,coupe_15,-45.50884837972795
16,coupe_16,-29.790463405354505
17,coupe_17,-43.415909943930075
