,t,Vdbx
0,43.008125,140.08040546506484
1,43.00875,140.1856176851072
2,43.009375,140.29460990003508
3,43.01,140.43205432056484
4,43.010625,140.55595886700598
5,43.01125,140.64350753922727
6,43.011875,140.72538991485632
7,43.0125,140.84757196279753
8,43.013125,140.99366178176498
9,43.01375,141.07232348808782
10,43.014375,141.16016465430806
11,43.015,141.26591642147042
12,43.015625,141.40149652535055
13,43.01625,141.5072889274657
14,43.016875,141.58941358470426
15,43.0175,141.65139928539847
16,43.018125,141.79810222878797
17,43.01875,141.89570935639117
18,43.019375,141.96387251726577
19,43.02,142.03150492511867
20,43.020625,142.1238179452683
21,43.02125,142.21516017759774
22,43.021875,142.29488775090252
23,43.0225,142.38379764122334
24,43.023125,142.4502154122064
25,43.02375,142.49855758221065
26,43.024375,142.56216698206214
27,43.025,142.63622142540686
28,43.025625,142.71028561997574
29,43.02625,142.77426219752022
30,43.026875,142.81204616040665
31,43.0275,142.85967109845637
32,43.028125,142.92318111209636
33,43.02875,142.99607876454044
34,43.029375,143.02003815985663
35,43.03,143.02065163512884
36,43.030625,143.05004760922253
37,43.03125,143.09030531584793
38,43.031875,143.12552992006033
39,43.0325,143.14792638646458
40,43.033125,143.16302650785406
41,43.03375,143.17508773264575
42,43.034375,143.1859285337677
43,43.035,143.202164408219
44,43.035625,143.18713223244453
45,43.03625,143.16905921377656
46,43.036875,143.17689547269975
47,43.0375,143.1352219661325
48,43.038125,143.10003672462506
49,43.03875,143.08239051031694
50,43.039375,143.0927391903684
51,43.04,143.0586027284545
52,43.040625,142.9979241431752
53,43.04125,142.94424833940917
54,43.041875,142.87964584447954
55,43.0425,142.82021106684647
56,43.043125,142.775524314587
57,43.04375,142.7020166753144
58,43.044375,142.65415689710895
59,43.045,142.62274547557215
60,43.045625,142.52847307474678
61,43.04625,142.44759464138224
62,43.046875,142.36066257657134
63,43.0475,142.2433829600332
64,43.048125,142.15437221040526
65,43.04875,142.0692324418941
66,43.049375,141.98255855452936
67,43.05,141.86493062207683
68,43.050625,141.75917578921465
69,43.05125,141.66001339153067
70,43.051875,141.56043161040773
71,43.0525,141.46263129881984
72,43.053125,141.34067279684524
73,43.05375,141.1730748314474
74,43.054375,141.1060372869488
75,43.055,141.00450075767307
76,43.055625,140.87117493829464
77,43.05625,140.7676338293539
78,43.056875,140.6467331969147
79,43.0575,140.51185137703348
80,43.058125,140.3615212729159
81,43.05875,140.270226669318
82,43.059375,140.15836781291196
83,43.06,140.0112843233075
84,43.060625,139.9056821537852
85,43.06125,139.77385405099633
86,43.061875,139.6445198334935
87,43.0625,139.5918779169786
88,43.063125,139.49851972179525
89,43.06375,139.40507739189573
90,43.064375,139.33221973363868
91,43.065,139.17987330060652
92,43.065625,139.07615995330613
93,43.06625,139.01021785971994
94,43.066875,138.86791153017907
95,43.0675,138.7793959444578
96,43.068125,138.71014531649425
97,43.06875,138.62814027113149
98,43.069375,138.5361062022321
99,43.07,138.48144859820727
100,43.070625,138.47420388793125
101,43.07125,138.44931890596828
102,43.071875,138.39620040340392
103,43.0725,138.33539368566272
104,43.073125,138.31432675891986
105,43.07375,138.28474695535482
106,43.074375,138.25612785322585
107,43.075,138.23486755711863
108,43.075625,138.19860519505662
109,43.07625,138.20287922129026
110,43.076875,138.23912378145374
111,43.0775,138.25081765581277
112,43.078125,138.2540041638172
113,43.07875,138.25506607342646
114,43.079375,138.26249580779117
115,43.08,138.30694124648383
116,43.080625,138.35536004895513
117,43.08125,138.4014224859505
118,43.081875,138.45762182416587
119,43.0825,138.49695265951075
