,numero,intensitemax
0,coupe_0,-32.47450217176167
1,coupe_1,-34.65045308870478
2,coupe_2,-30.470728673335202
3,coupe_3,-40.47303144024369
4,coupe_4,-37.07326000478715
5,coupe_5,-34.159807364601356
6,coupe_6,-32.6598834248008
7,coupe_7,-35.854968624150025
8,coupe_8,-36.73314070144388
9,coupe_9,-37.34192570935577
10,coupe_10,-33.81957722117229
11,coupe_11,-36.96786069292071
12,coupe_12,-34.41141297346301
13,coupe_13,-34.010300158218264
14,coupe_14,-28.990216189063702
15,coupe_15,-34.89035877822932
