,numero,intensitemax
0,coupe_0,-34.369179440919936
1,coupe_1,-46.92157915763793
2,coupe_2,-48.8449680112555
3,coupe_3,-43.88834068966539
4,coupe_4,-42.190509449222645
5,coupe_5,-49.961504312450316
6,coupe_6,-43.90998229610755
7,coupe_7,-45.48744627034084
8,coupe_8,-40.76587322356009
9,coupe_9,-39.60374714479471
10,coupe_10,-48.067723468680356
11,coupe_11,-43.96967615147489
12,coupe_12,-41.20990240272089
13,coupe_13,-41.15508561427718
14,coupe_14,-47.449635854787985
15,coupe_15,-44.85185082733124
16,coupe_16,-47.864618344040004
17,coupe_17,-43.08831273203584
18,coupe_18,-45.72553594093846
