,numero,intensitemax
0,coupe_0,-43.15521743704557
1,coupe_1,-52.02420990627389
2,coupe_2,-26.696063035298195
3,coupe_3,-36.693771399593146
4,coupe_4,-42.942406815655936
5,coupe_5,-33.42532776506749
6,coupe_6,-37.917649133026956
7,coupe_7,-46.97819146220156
8,coupe_8,-43.802719391335984
9,coupe_9,-36.22154014839455
10,coupe_10,-45.94849755092422
11,coupe_11,-49.35791527509734
12,coupe_12,-32.35249686408894
13,coupe_13,-33.41727425491548
14,coupe_14,-34.62644810256732
15,coupe_15,-39.27899692115261
