,numero,intensitemax
0,coupe_0,-39.35355732571247
1,coupe_1,-35.30329379916962
2,coupe_2,-36.356306568211764
3,coupe_3,-28.453034621484083
4,coupe_4,-33.15573135811722
5,coupe_5,-31.29194382983705
6,coupe_6,-34.11145988078434
7,coupe_7,-45.19349275291602
8,coupe_8,-34.23457211409361
9,coupe_9,-48.95213353011184
10,coupe_10,-32.424983765405514
11,coupe_11,-32.88188093961971
12,coupe_12,-31.59568814551761
13,coupe_13,-35.70522755199593
14,coupe_14,-33.29452140216584
15,coupe_15,-35.66712950899454
