,t,Vdbz
0,8.08,121.51823522965556
1,8.080625,121.31159429456898
2,8.08125,121.2064005737657
3,8.081875,121.45969489255862
4,8.0825,121.7058115646013
5,8.083125,121.9242917069281
6,8.08375,122.04181051023673
7,8.084375,121.99361282218501
8,8.085,121.81221415656813
9,8.085625,121.47436700692245
10,8.08625,121.83333915191369
11,8.086875,121.9242917069281
12,8.0875,121.81926153191463
13,8.088125,121.93820026016112
14,8.08875,121.540086535867
15,8.089375,121.236586145894
16,8.09,121.540086535867
17,8.090625,121.69867149873433
18,8.09125,121.72007411236764
19,8.091875,121.634145401947
20,8.0925,121.655707406329
21,8.093125,121.4963288129035
22,8.09375,121.35629022323681
23,8.094375,121.48169378056487
24,8.095,121.5836249209525
25,8.095625,121.56188300812822
26,8.09625,121.4155292568687
27,8.096875,121.37113790144726
28,8.0975,121.3339710084599
29,8.098125,121.12284524118104
30,8.09875,120.30719510818429
31,8.099375,120.1975126742432
32,8.1,120.1975126742432
33,8.100625,120.16348368012854
34,8.10125,119.71750714616788
35,8.101875,119.41623221745036
36,8.1025,119.24738671340043
37,8.103125,119.1521457412019
38,8.10375,118.94867443774102
39,8.104375,119.0848501887865
40,8.105,119.74438459816011
41,8.105625,119.78009231397074
42,8.10625,119.70852948166004
43,8.106875,119.609157845522
44,8.1075,119.79789127437547
45,8.108125,119.49023385474658
46,8.10875,119.1521457412019
47,8.109375,119.09449581958127
48,8.11,119.71750714616788
49,8.110625,119.71750714616788
50,8.11125,119.20941555068597
51,8.111875,119.11375500627011
52,8.1125,118.75035784034694
53,8.113125,118.29743635080101
54,8.11375,117.9305243497911
55,8.114375,117.69590727897962
56,8.115,117.45477654945338
57,8.115625,117.30207949282257
58,8.11625,117.88632125368878
59,8.116875,117.79723442516377
60,8.1175,117.67322870307234
61,8.118125,118.20181091188135
62,8.11875,118.72021591430419
63,8.119375,119.16171697042171
64,8.12,119.54532424854585
65,8.120625,120.52249033490901
66,8.12125,120.94549734768358
67,8.121875,121.24411617639426
68,8.1225,121.95208657748822
69,8.123125,122.18481937176406
70,8.12375,122.36529452178958
71,8.124375,122.61953383211234
72,8.125,123.33452111160102
73,8.125625,123.59677856046373
74,8.12625,123.63115547725572
75,8.126875,123.80663396340583
76,8.1275,124.2384216861702
77,8.128125,124.52684174327261
78,8.12875,124.51135426878942
79,8.129375,124.83092961193097
80,8.13,124.99863513268389
81,8.130625,125.02789700080208
82,8.13125,124.95946532723613
83,8.131875,124.96927435102064
84,8.1325,124.99863513268389
85,8.133125,125.01327838926487
86,8.13375,124.93489419447683
87,8.134375,124.82594774219987
88,8.135,124.70551753374104
