,numero,centroid
0,coupe_0,150.10565645820648
1,coupe_1,140.22176057965896
2,coupe_2,151.70825756517917
3,coupe_3,149.321497520212
4,coupe_4,142.57446432633665
5,coupe_5,142.79865365348041
6,coupe_6,145.93011561871108
7,coupe_7,127.41621112558371
8,coupe_8,150.25735288410226
9,coupe_9,151.7376697168558
10,coupe_10,122.54170295743604
11,coupe_11,166.16186700588221
12,coupe_12,131.6409160883208
13,coupe_13,170.49850505816067
14,coupe_14,159.91698716461224
15,coupe_15,127.02418625540147
16,coupe_16,128.03096816408873
17,coupe_17,164.62951548355485
18,coupe_18,145.14258932831208
