,numero,intensitemax
0,coupe_0,-31.150966564283156
1,coupe_1,-35.49518123309217
2,coupe_2,-31.747896564379673
3,coupe_3,-38.79774494060888
4,coupe_4,-39.39581437670889
5,coupe_5,-39.50891271783075
6,coupe_6,-41.6698717873995
7,coupe_7,-40.2178926113157
8,coupe_8,-36.95594476452871
9,coupe_9,-45.00754200299019
10,coupe_10,-37.98119906239429
11,coupe_11,-46.70019609766433
12,coupe_12,-45.28317585213663
13,coupe_13,-32.977156916911
14,coupe_14,-32.43741945551858
15,coupe_15,-42.13180875841268
16,coupe_16,-39.30751246994358
17,coupe_17,-37.408939913965796
