,t,Vdbz
0,4.033125,136.3341036733303
1,4.03375,136.3181930177355
2,4.034375,136.30358260278837
3,4.035,136.2862840041492
4,4.035625,136.27161977136385
5,4.03625,136.25425733530736
6,4.036875,136.23150011741185
7,4.0375,136.18850057594068
8,4.038125,136.17232070853984
9,4.03875,136.18850057594068
10,4.039375,136.2247954550658
11,4.04,136.20465035990168
12,4.040625,136.16557019165535
13,4.04125,136.14257911184842
14,4.041875,136.12767003648335
15,4.0425,136.11816910148394
16,4.043125,136.1113763509711
17,4.04375,136.05547450583953
18,4.044375,136.0909661677611
19,4.045,136.13716059037637
20,4.045625,136.0404150354395
21,4.04625,136.02532940979242
22,4.046875,136.0115924313826
23,4.0475,135.96886920700373
24,4.048125,136.01571580655525
25,4.04875,135.9964566198664
26,4.049375,135.94257975593106
27,4.05,135.94257975593106
28,4.050625,135.89533595881642
29,4.05125,135.8660270722623
30,4.051875,135.89394253783996
31,4.0525,135.83802160019144
32,4.053125,135.7831498382288
33,4.05375,135.74495760663908
34,4.054375,135.7690241404691
35,4.055,135.77467717655415
36,4.055625,135.75912246567864
37,4.05625,135.70517266715402
38,4.056875,135.71371336561805
39,4.0575,135.68521165132168
40,4.058125,135.62073877242264
41,4.05875,135.65518385247995
42,4.059375,135.6034648728519
43,4.06,135.54853644778623
44,4.060625,135.6034648728519
45,4.06125,135.59914102493812
46,4.061875,135.56881367142466
47,4.0625,135.51948662258738
48,4.063125,135.48595876998553
49,4.06375,135.50638243658955
50,4.064375,135.53838005684094
51,4.065,135.4888793784993
52,4.065625,135.46695083961646
53,4.06625,135.45962900689926
54,4.066875,135.46548696674907
55,4.0675,135.4464341344584
56,4.068125,135.4111494970199
57,4.06875,135.37867884373563
58,4.069375,135.41409536431559
59,4.07,135.43762640380197
60,4.070625,135.41556792338295
61,4.07125,135.31039086195906
62,4.071875,135.42880973279824
63,4.0725,135.47572889962387
64,4.073125,135.4405633064971
65,4.07375,135.40525476341188
66,4.074375,135.45083465281888
67,4.075,135.51512075688197
68,4.075625,135.5398316971281
69,4.07625,135.4684144658122
70,4.076875,135.4625584806667
71,4.0775,135.5398316971281
72,4.078125,135.51075269561915
73,4.07875,135.51366498052087
74,4.079375,135.52239598105976
75,4.08,135.49763531637592
76,4.080625,135.4888793784993
77,4.08125,135.4625584806667
78,4.081875,135.40820263027814
79,4.0825,135.40378045471985
80,4.083125,135.4170402328429
81,4.08375,135.4346885077354
82,4.084375,135.4199841032788
83,4.085,135.41556792338295
84,4.085625,135.43027979959334
85,4.08625,135.47134097852117
86,4.086875,135.43321918697774
87,4.0875,135.43762640380197
88,4.088125,135.46109386728526
89,4.08875,135.38606920378163
90,4.089375,135.38163574236438
91,4.09,135.3698021034249
92,4.090625,135.29398127596735
93,4.09125,135.34905436195547
94,4.091875,135.37572093816027
95,4.0925,135.36832176432662
96,4.093125,135.38902358804074
97,4.09375,135.40820263027814
98,4.094375,135.40967618862214
99,4.095,135.35943442763238
100,4.095625,135.43027979959334
101,4.09625,135.490339314571
102,4.096875,135.51366498052087
103,4.0975,135.49325845075646
104,4.098125,135.49325845075646
105,4.09875,135.50638243658955
106,4.099375,135.536928173906
107,4.1,135.5253043653622
108,4.100625,135.51948662258738
109,4.10125,135.53547604824215
110,4.101875,135.57893455937233
111,4.1025,135.56881367142466
112,4.103125,135.51657628929226
113,4.10375,135.4523009969834
114,4.104375,135.4493680610656
115,4.105,135.44349921649228
116,4.105625,135.40378045471985
117,4.10625,135.406728821903
118,4.106875,135.37867884373563
119,4.1075,135.3312310527506
120,4.108125,135.3312310527506
121,4.10875,135.3342041452452
122,4.109375,135.30591859396114
123,4.11,135.19788748051
124,4.110625,135.27005730935196
125,4.11125,135.27454807531396
126,4.111875,135.18882394267396
127,4.1125,135.1220674317021
128,4.113125,135.1037717121665
129,4.11375,135.1098745683024
130,4.114375,135.12054425946883
131,4.115,135.0609312325306
132,4.115625,135.01016789702692
133,4.11625,134.98854198243498
134,4.116875,134.9575541163958
135,4.1175,134.91866316918885
136,4.118125,134.87959730483686
137,4.11875,134.85293179877473
138,4.119375,134.8135685045491
139,4.12,134.804094710149
140,4.120625,134.84664564714296
141,4.12125,134.72155274007892
142,4.121875,134.64626654942487
143,4.1225,134.63338663657274
144,4.123125,134.71995768183587
145,4.12375,134.6526993507839
146,4.124375,134.56382797179893
147,4.125,134.53617365049928
148,4.125625,134.54919841715818
149,4.12625,134.50843100148518
150,4.126875,134.4230168749937
151,4.1275,134.41145440728522
152,4.128125,134.39159715427448
153,4.12875,134.37501469479332
154,4.129375,134.36837283659312
155,4.13,134.27317032416713
156,4.130625,134.23783099761158
157,4.13125,134.27820708257912
158,4.131875,134.24962675603837
159,4.1325,134.25467718139905
160,4.133125,134.26645009974055
161,4.13375,134.24457339239072
162,4.134375,134.25972467188765
163,4.135,134.25299403254422
164,4.135625,134.2091172867085
165,4.13625,134.28827184574243
166,4.136875,134.2614065171128
167,4.1375,134.18709551668792
168,4.138125,134.2040402931077
169,4.13875,134.17691276096357
170,4.139375,134.17691276096357
171,4.14,134.24625817362733
172,4.140625,134.30836645190112
173,4.14125,134.30836645190112
174,4.141875,134.26981086187885
175,4.1425,134.3100389058657
176,4.143125,134.29999934824085
177,4.14375,134.27988535321288
178,4.144375,134.27988535321288
179,4.145,134.25467718139905
180,4.145625,134.22770758196904
181,4.14625,134.2091172867085
182,4.146875,134.22095207734066
183,4.1475,134.20065398131507
184,4.148125,134.17861071613234
185,4.14875,134.19048711752683
186,4.149375,134.17691276096357
187,4.15,134.18370259100493
188,4.150625,134.21080895866592
189,4.15125,134.1189838982059
190,4.151875,134.04516326324188
191,4.1525,134.0019540922611
192,4.153125,134.03135970111856
193,4.15375,134.0261777045615
194,4.154375,134.01926356319098
195,4.155,134.01926356319098
196,4.155625,134.05377936318268
197,4.15625,134.05894492363112
198,4.156875,134.05377936318268
199,4.1575,134.1121432680921
200,4.158125,134.12581914517526
201,4.15875,134.11043226845334
202,4.159375,134.06238692472155
203,4.16,134.07785907265088
204,4.160625,134.11727424567837
205,4.16125,134.16501777182756
206,4.161875,134.15480908547545
207,4.1625,134.1599149284586
208,4.163125,134.13947352352355
209,4.16375,134.05377936318268
210,4.164375,134.1121432680921
211,4.165,134.10015918666673
212,4.165625,134.01061313957183
213,4.16625,134.10358489747352
214,4.166875,134.10700925771425
215,4.1675,134.091588993926
216,4.168125,134.14970023934947
217,4.16875,134.10015918666673
218,4.169375,134.1326490174659
219,4.17,134.28324092197707
220,4.170625,134.1411788125519
221,4.17125,134.13606194074677
222,4.171875,134.17351585453073
223,4.1725,134.05205682680855
224,4.173125,134.0417144287165
225,4.17375,134.0744231985404
226,4.174375,134.1326490174659
227,4.175,134.07098596476462
228,4.175625,134.09673212422808
229,4.17625,134.15821331426213
230,4.176875,134.05377936318268
231,4.1775,133.97940008672037
232,4.178125,133.93062239939215
233,4.17875,133.9113845407237
234,4.179375,133.97244859404196
235,4.18,133.9620109124678
236,4.180625,133.89561272024122
237,4.18125,133.90087317642588
238,4.181875,133.93586170163488
239,4.1825,133.96375139732245
240,4.183125,133.94633083464765
241,4.18375,133.97070985124003
242,4.184375,134.00541874712874
243,4.185,134.04343901715424
244,4.185625,134.03135970111856
245,4.18625,134.02444968513115
246,4.186875,134.02099261458278
247,4.1875,134.0261777045615
248,4.188125,134.07098596476462
249,4.18875,134.08129358817135
250,4.189375,134.0365386079428
251,4.19,134.08301033679598
252,4.190625,134.091588993926
253,4.19125,134.06754737024698
254,4.191875,134.02099261458278
255,4.1925,134.05205682680855
256,4.193125,134.1121432680921
257,4.19375,134.18030833944235
258,4.194375,134.1275271167938
259,4.195,134.091588993926
260,4.195625,134.09330370909058
261,4.19625,134.2091172867085
262,4.196875,134.1121432680921
263,4.1975,134.02444968513115
264,4.198125,134.1189838982059
265,4.19875,134.14799662266498
266,4.199375,134.1326490174659
267,4.2,134.091588993926
268,4.200625,134.16161620936464
269,4.20125,134.09673212422808
270,4.201875,134.03135970111856
271,4.2025,134.13606194074677
272,4.203125,133.98461005766816
273,4.20375,133.9533032529535
274,4.204375,134.1052972463481
275,4.205,133.98808163630673
276,4.205625,133.94458685519436
277,4.20625,133.9620109124678
278,4.206875,134.0382642242469
279,4.2075,134.00022124644227
280,4.208125,133.94109784545148
281,4.20875,133.89385852662969
282,4.209375,133.94109784545148
283,4.21,133.9550454833551
284,4.210625,133.95678736436727
285,4.21125,134.02099261458278
286,4.211875,133.9585288961301
287,4.2125,133.90963352980395
288,4.213125,133.94981774342114
289,4.21375,133.9585288961301
290,4.214375,133.9550454833551
291,4.215,133.92537993491067
292,4.215625,133.7755131054569
293,4.21625,133.85517636309447
294,4.216875,133.96027007878362
295,4.2175,133.93062239939215
296,4.218125,133.96549153348735
297,4.21875,133.98113709095335
298,4.219375,133.96897076030658
299,4.22,133.95678736436727
300,4.220625,134.01926356319098
301,4.22125,134.0881585477368
302,4.221875,134.07098596476462
303,4.2225,133.98461005766816
304,4.223125,133.94807446400975
305,4.22375,133.99328640404747
306,4.224375,133.94633083464765
307,4.225,133.95678736436727
308,4.225625,134.01234391364113
309,4.22625,134.09330370909058
310,4.226875,134.03481264874426
311,4.2275,133.96897076030658
312,4.228125,133.94458685519436
313,4.22875,134.0365386079428
314,4.229375,134.06410741390974
315,4.23,134.03481264874426
316,4.230625,133.98287374788967
317,4.23125,133.93760743365524
318,4.231875,133.90087317642588
319,4.2325,133.87102171191827
320,4.233125,133.8074661383212
321,4.23375,133.8163211596183
322,4.234375,133.88683820728363
323,4.235,133.89210397867137
324,4.235625,133.8569383855446
325,4.23625,133.77729136109585
326,4.236875,133.63748244257295
327,4.2375,133.68613292143263
328,4.238125,133.67534522850625
329,4.23875,133.5776482934147
330,4.239375,133.59037487391578
331,4.24,133.57582868732487
332,4.240625,133.56854644867735
333,4.24125,133.63567532935764
334,4.241875,133.57582868732487
335,4.2425,133.54118354784322
336,4.243125,133.5776482934147
