,t,Vdbx
0,3.066875,134.15651136664462
1,3.0675,133.87453897847294
2,3.068125,133.57400869996607
3,3.06875,133.44380502376507
4,3.069375,133.2627062991551
5,3.07,133.0931550929905
6,3.070625,133.0931550929905
7,3.07125,133.17358057164898
8,3.071875,133.29095924493095
9,3.0725,133.43641120366496
10,3.073125,133.53021420565108
11,3.07375,133.62301499864844
12,3.074375,133.70049570211427
13,3.075,133.70587562773568
14,3.075625,133.89561272024122
15,3.07625,134.050333948763
16,3.076875,134.06754737024698
17,3.0775,134.15821331426213
18,3.078125,134.1955720369645
19,3.07875,134.197266348808
20,3.079375,134.23783099761158
21,3.08,134.28324092197707
22,3.080625,134.3384214633352
23,3.08125,134.41145440728522
24,3.081875,134.39490985059155
25,3.0825,134.44774188354248
26,3.083125,134.54594405607173
27,3.08375,134.51823264590098
28,3.084375,134.57356733701826
29,3.085,134.63821884233744
30,3.085625,134.64948354562387
31,3.08625,134.67998573076773
32,3.086875,134.68799485041134
33,3.0875,134.67357311354175
34,3.088125,134.67357311354175
35,3.08875,134.63821884233744
36,3.089375,134.64465760440996
37,3.09,134.7866992039216
38,3.090625,134.90149583164114
39,3.09125,135.00090624023534
40,3.091875,135.09002458773833
41,3.0925,135.2715544893329
42,3.093125,135.48157601505036
43,3.09375,135.69091948109045
44,3.094375,135.86462894113043
45,3.095,136.02532940979242
46,3.095625,136.19792493204878
47,3.09625,136.37902623280345
48,3.096875,136.4407449614517
49,3.0975,136.55126222509446
50,3.098125,136.69222841445375
51,3.09875,136.8509367299003
52,3.099375,136.9687091066294
53,3.1,137.07031393513856
54,3.100625,137.1611143610073
55,3.10125,137.18516834934613
56,3.101875,137.26407718057257
57,3.1025,137.36230410654434
58,3.103125,137.40222310728802
59,3.10375,137.38463439461952
60,3.104375,137.33401512084998
61,3.105,137.25335900457176
62,3.105625,137.24382062103194
63,3.10625,137.1791610943601
64,3.106875,137.08855011575724
65,3.1075,137.07153087239283
66,3.108125,136.99452888392656
67,3.10875,136.90940265963346
68,3.109375,136.8459426865613
69,3.11,136.88332820900402
70,3.110625,136.90940265963346
71,3.11125,136.93416290912015
72,3.111875,137.0263902529749
73,3.1125,137.09826044615713
74,3.113125,137.21274833547508
75,3.11375,137.42328265605897
76,3.114375,137.56928690682938
77,3.115,137.77706333965872
78,3.115625,138.02589634331133
79,3.11625,138.1546747399531
80,3.116875,138.27945423101943
81,3.1175,138.41498522551416
82,3.118125,138.58019970987922
83,3.11875,138.64744564295827
84,3.119375,138.73730917951247
85,3.12,138.85503840859627
86,3.120625,138.88570441377504
87,3.12125,138.92511414398794
88,3.121875,138.9467135189748
89,3.1225,138.90937170263638
90,3.123125,138.97998908053904
91,3.12375,139.0238351586941
92,3.124375,139.0199466797761
93,3.125,139.0732612749418
94,3.125625,139.09545979379433
95,3.12625,139.11471684555332
96,3.126875,139.17032206846082
97,3.1275,139.23032022897897
98,3.128125,139.26347432750504
99,3.12875,139.26252882163809
100,3.129375,139.31719873614145
101,3.13,139.34908736365483
102,3.130625,139.36592230092512
103,3.13125,139.37619427825717
104,3.131875,139.40321686074628
105,3.1325,139.41623221745036
106,3.133125,139.40042531656732
107,3.13375,139.4255169747621
108,3.134375,139.48747014162845
109,3.135,139.55355775347988
110,3.135625,139.5224123659963
111,3.13625,139.55172876007703
112,3.136875,139.58185801276653
113,3.1375,139.58550295182047
114,3.138125,139.47917372213408
115,3.13875,139.4366455984985
116,3.139375,139.44035197348032
117,3.14,139.41158611429702
118,3.140625,139.39018197193133
119,3.14125,139.37246041913977
120,3.141875,139.3565735866031
121,3.1425,139.27764457857555
122,3.143125,139.2227243477445
123,3.14375,139.1932274054699
124,3.144375,139.16458628376765
125,3.145,139.11567857833825
126,3.145625,139.0597213039411
127,3.14625,139.003401196164
128,3.146875,138.9594515849156
129,3.1475,138.88372922567376
130,3.148125,138.78339359250356
131,3.14875,138.7603819495242
132,3.149375,138.7523635878765
133,3.15,138.73831361890507
134,3.150625,138.6859281363881
135,3.15125,138.6889589789794
136,3.151875,138.65353317244802
137,3.1525,138.57406054861195
138,3.153125,138.59552865609803
139,3.15375,138.55664265733165
140,3.154375,138.4897208746783
141,3.155,138.4326892210741
142,3.155625,138.3606067356976
143,3.15625,138.31749005715383
144,3.156875,138.31327207011546
145,3.1575,138.2921513554216
146,3.158125,138.27203899458314
147,3.15875,138.26673851865246
148,3.159375,138.30271813244022
149,3.16,138.24975522664647
150,3.160625,138.1911205848235
151,3.16125,138.15145157597104
152,3.161875,138.12562311544306
153,3.1625,138.10404057324638
154,3.163125,138.08781840024724
155,3.16375,138.08023767194777
156,3.164375,138.07048128942523
157,3.165,138.04549840949005
158,3.165625,138.00187803086797
159,3.16625,138.01935247838247
160,3.166875,138.02480604146618
161,3.1675,138.04658611716638
162,3.168125,138.18577048324502
163,3.16875,138.27945423101943
164,3.169375,138.34485715814932
165,3.17,138.3878385354772
166,3.170625,138.45035720489224
167,3.17125,138.506241829993
168,3.171875,138.56894126418365
169,3.1725,138.7111529018603
170,3.173125,138.81331744951657
171,3.17375,138.86890098050063
172,3.174375,138.85801082280588
173,3.175,138.9201976953153
174,3.175625,138.91921407155138
175,3.17625,138.86494250275723
176,3.176875,138.8886663540043
177,3.1775,138.92118120770246
178,3.178125,138.93002781139177
179,3.17875,138.87285765504257
180,3.179375,138.87285765504257
181,3.18,138.85999186732082
182,3.180625,138.83320956776785
183,3.18125,138.87681252802523
184,3.181875,138.88372922567376
185,3.1825,138.8619724601097
186,3.183125,138.8073409197133
187,3.18375,138.82127976439804
188,3.184375,138.81530871262436
189,3.185,138.77539645566236
190,3.185625,138.7583780529556
191,3.18625,138.708129795047
192,3.186875,138.64338491841585
193,3.1875,138.591443581531
194,3.188125,138.56484366314618
195,3.18875,138.53199307814054
196,3.189375,138.48455162520236
197,3.19,138.48041400948136
198,3.190625,138.47316843586614
199,3.19125,138.44516446865933
200,3.191875,138.35640963987396
201,3.1925,138.3079967042454
202,3.193125,138.25506607342646
203,3.19375,138.1825588397852
204,3.194375,138.1825588397852
205,3.195,138.19753635980786
206,3.195625,138.20821879829376
207,3.19625,138.1568228516589
208,3.196875,138.20287922129026
209,3.1975,138.2783952990293
210,3.198125,138.35745910397696
211,3.19875,138.41185724169617
212,3.199375,138.50727334708205
213,3.2,138.62407050901504
214,3.200625,138.7000630290731
215,3.20125,138.69804516644626
216,3.201875,138.71518207490624
217,3.2025,138.81431313813326
218,3.203125,138.82923478694659
219,3.20375,138.83718253050748
220,3.204375,138.838175487312
221,3.205,138.80136027478704
222,3.205625,138.76839291586384
223,3.20625,138.71014531649425
224,3.206875,138.5924650303048
225,3.2075,138.53816203410872
226,3.208125,138.43684962811716
227,3.20875,138.28897881397108
228,3.209375,138.1911205848235
229,3.21,138.06397094085958
230,3.210625,137.95474050690854
231,3.21125,137.92501124923277
232,3.211875,137.8106558385549
233,3.2125,137.67663426658905
234,3.213125,137.5347459428133
235,3.21375,137.4115892110537
236,3.214375,137.28784810301178
237,3.215,137.16352275964687
238,3.215625,137.04349808840607
239,3.21625,136.92921650258666
240,3.216875,136.82718940909712
241,3.2175,136.73660572977758
242,3.218125,136.65911501209197
243,3.21875,136.52149605401655
244,3.219375,136.34601756786643
245,3.22,136.16421945848444
246,3.220625,136.0404150354395
247,3.22125,135.9176003468815
248,3.221875,135.77891454047494
249,3.2225,135.64801904993058
250,3.223125,135.52239598105976
251,3.22375,135.38311381428798
252,3.224375,135.18428862468488
253,3.225,134.963760540124
254,3.225625,134.76926878923905
