,numero,intensitemax
0,coupe_0,-35.7424877942063
1,coupe_1,-33.71320572834869
2,coupe_2,-32.26875764162069
3,coupe_3,-38.2076037906028
4,coupe_4,-38.34095755320389
5,coupe_5,-35.46485713477217
6,coupe_6,-34.47390371850541
7,coupe_7,-37.54342941990763
8,coupe_8,-32.815455261905115
9,coupe_9,-33.27695295687619
10,coupe_10,-32.55656139686036
11,coupe_11,-32.46531255071399
12,coupe_12,-33.35601015565529
13,coupe_13,-34.576437631734784
14,coupe_14,-31.407189431972387
15,coupe_15,-36.973196009790676
