Column1;t;Vdb;;
0;0;301,598999;;
1;4,54E-05;309,0076162;;
2;9,07E-05;306,3784275;;404,8154783
3;0,000136058;307,4929211;;293,0018261
4;0,00018141;303,6249134;;
5;0,000226763;299,5609036;;
6;0,000272115;294,5832442;;
7;0,000317468;294,8066701;;
8;0,00036282;292,4968842;;
9;0,000408173;293,8958487;;
10;0,000453525;292,6825714;;
11;0,000498878;290,0141746;;
12;0,00054423;289,3694494;;
13;0,000589583;290,1873997;;
14;0,000634935;288,5998336;;
15;0,000680288;288,9176375;;
16;0,00072564;286,1539695;;
17;0,000770993;279,7167561;;
18;0,000816345;277,1296966;;
19;0,000861698;279,4978637;;
20;0,00090705;283,0253379;;
21;0,000952403;282,5082173;;
22;0,000997755;283,2545063;;
23;0,001043108;283,8393665;;
24;0,00108846;286,8678432;;
25;0,001133813;288,2731969;;
26;0,001179165;285,5374113;;
27;0,001224518;285,2506793;;
28;0,00126987;283,6745649;;
29;0,001315223;280,1309868;;
30;0,001360575;281,6465211;;
31;0,001405928;280,7277701;;
32;0,00145128;279,6328249;;
33;0,001496633;277,7150855;;
34;0,001541985;271,8169335;;
35;0,001587338;256,9773481;;
36;0,00163269;252,3600145;;
37;0,001678043;252,8670582;;
38;0,001723395;233,5874731;;
39;0,001768748;265,6042619;;
40;0,0018141;278,1471458;;
41;0,001859453;286,2732554;;
42;0,001904805;289,6171278;;
43;0,001950158;289,9188124;;
44;0,00199551;289,22022;;
45;0,002040863;289,3930464;;
46;0,002086215;291,2799283;;
47;0,002131568;291,5543436;;
48;0,00217692;290,9522068;;
49;0,002222273;293,4786404;;
50;0,002267625;293,845073;;
51;0,002312978;291,1712789;;
52;0,00235833;287,1945982;;
53;0,002403683;281,5324746;;
54;0,002449035;274,7523878;;
55;0,002494388;272,1618025;;
56;0,00253974;263,2800207;;
57;0,002585093;255,1021317;;
58;0,002630445;257,6529029;;
59;0,002675798;260,7834467;;
60;0,00272115;264,6077184;;
61;0,002766503;265,343291;;
62;0,002811855;272,0347778;;
63;0,002857208;273,5173716;;
64;0,00290256;278,6895361;;
65;0,002947913;280,6283163;;
66;0,002993265;276,4132433;;
67;0,003038618;271,8286564;;
68;0,00308397;268,1251065;;
69;0,003129323;257,8259324;;
70;0,003174675;209,9353929;;
71;0,003220028;227,342205;;
72;0,00326538;246,0849843;;
73;0,003310733;223,909367;;
74;0,003356085;228,6888087;;
75;0,003401438;257,5652867;;
76;0,00344679;264,3494577;;
77;0,003492143;274,4490662;;
78;0,003537495;282,0614175;;
79;0,003582848;285,054446;;
80;0,0036282;285,2587127;;
81;0,003673553;282,66148;;
82;0,003718905;282,9154582;;
83;0,003764258;282,103139;;
84;0,00380961;282,6767984;;
85;0,003854963;278,975178;;
86;0,003900315;277,96571;;
87;0,003945668;279,372796;;
88;0,00399102;276,9674624;;
89;0,004036373;276,4183284;;
90;0,004081725;275,7673068;;
91;0,004127078;277,7786848;;
92;0,00417243;280,4065618;;
93;0,004217783;281,8205573;;
94;0,004263135;283,2521148;;
95;0,004308488;284,1405691;;
96;0,00435384;284,9723679;;
97;0,004399193;283,3283198;;
98;0,004444545;277,1627267;;
99;0,004489898;273,4005954;;
100;0,00453525;270,4916083;;
101;0,004580603;268,3783966;;
102;0,004625955;263,045091;;
103;0,004671308;238,3106004;;
104;0,00471666;248,6083918;;
105;0,004762013;261,173163;;
106;0,004807365;255,7355665;;
107;0,004852718;253,2682726;;
108;0,00489807;247,7061698;;
109;0,004943423;240,8840677;;
110;0,004988775;226,7878277;;
111;0,005034128;251,9996274;;
112;0,00507948;254,2556783;;
113;0,005124833;238,9535538;;
114;0,005170185;249,2780645;;
115;0,005215538;261,5065456;;
116;0,00526089;266,9428977;;
117;0,005306243;264,6092396;;
118;0,005351595;268,2371154;;
119;0,005396948;269,9132699;;
120;0,0054423;259,4515608;;
121;0,005487653;261,7119687;;
122;0,005533005;263,3611213;;
123;0,005578358;261,5678641;;
124;0,00562371;267,0224212;;
125;0,005669063;269,1886787;;
126;0,005714415;277,0730503;;
