numero,intensitemax
coupe_0,-31.667672054559826
coupe_1,-47.748085102679
coupe_2,-40.92105732904349
coupe_3,-34.23209118115224
coupe_4,-43.10078661111482
coupe_5,-36.90254473365047
coupe_6,-43.44467682214113
coupe_7,-35.6946452580754
coupe_8,-33.53545213286306
coupe_9,-41.26076696052374
coupe_10,-37.940881480481494
coupe_11,-43.493818327868425
coupe_12,-33.43250765112993
coupe_13,-30.34993410573968
coupe_14,-40.2231986185674
